family,vertices,alpha,epsilon,cap,succeeded,checkpoint_count,envelope_volume,priority_work,priority_pushes,scratch_iterations,scratch_work,cleanup_work,total_work,direct_appr_work,direct_priority_work,ratio_to_best_direct,semantic_error,published_mass_deficit
path-96,96,0.01,0.005,400,False,5,0,1162,613,0,0,0,1162,1303,1162,1.0,0.00373955965485646,nan
path-96,96,0.01,0.01,200,False,5,0,745,397,0,0,0,745,966,745,1.0,0.006888335280516996,nan
path-96,96,0.01,0.02,100,False,4,0,417,226,0,0,0,417,482,417,1.0,0.012690824763597373,nan
path-96,96,0.04,0.005,400,False,4,0,252,137,0,0,0,252,299,252,1.0,0.0029928118686986705,nan
path-96,96,0.04,0.01,200,False,4,0,148,82,0,0,0,148,184,148,1.0,0.007384995402525945,nan
path-96,96,0.04,0.02,100,False,4,0,103,58,0,0,0,103,99,103,1.0404040404040404,0.012352262375627901,nan
path-96,96,0.16,0.005,400,True,3,7,13,8,0,0,32,45,48,45,1.0,0.0027761877275238223,0.20778048058408238
path-96,96,0.16,0.01,200,True,3,7,13,8,0,0,17,30,35,30,1.0,0.006889022392167513,0.20778048058408238
path-96,96,0.16,0.02,100,True,3,7,13,8,0,0,14,27,27,27,1.0,0.00835012000900063,0.20778048058408238
cycle-96,96,0.01,0.005,400,False,5,0,1490,745,0,0,0,1490,1932,1490,1.0,0.003444168421665025,nan
cycle-96,96,0.01,0.01,200,False,5,0,834,417,0,0,0,834,964,834,1.0,0.00634541304719746,nan
cycle-96,96,0.01,0.02,100,False,5,0,396,198,0,0,0,396,328,396,1.2073170731707317,0.011315811860041998,nan
cycle-96,96,0.04,0.005,400,True,5,32,222,111,4,128,52,402,368,296,1.3581081081081081,0.0032712797200106494,0.15869451856808936
cycle-96,96,0.04,0.01,200,False,4,0,206,103,0,0,0,206,198,206,1.0404040404040404,0.006176131187813972,nan
cycle-96,96,0.04,0.02,100,False,4,0,96,48,0,0,0,96,164,96,1.0,0.013894915212507675,nan
cycle-96,96,0.16,0.005,400,True,3,8,10,5,1,8,52,70,70,60,1.1666666666666667,0.003444511196083759,0.35041518151908524
cycle-96,96,0.16,0.01,200,True,3,8,10,5,1,8,38,56,54,54,1.037037037037037,0.004850135512665582,0.35041518151908524
cycle-96,96,0.16,0.02,100,True,3,8,10,5,1,8,20,38,32,36,1.1875,0.010125215333839086,0.35041518151908524
star-96,96,0.01,0.005,400,True,2,190,190,96,2,380,0,570,3610,3610,0.15789473684210525,8.31799906730879e-16,1.5942802633617248e-13
star-96,96,0.01,0.01,200,True,2,190,190,96,2,380,0,570,285,285,2.0,8.31799906730879e-16,1.5942802633617248e-13
star-96,96,0.01,0.02,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005315789473684197,nan
star-96,96,0.04,0.005,400,True,2,190,190,96,2,380,0,570,950,950,0.6,4.2500725161431774e-17,5.995204332975845e-15
star-96,96,0.04,0.01,200,False,1,0,95,1,0,0,0,95,95,95,1.0,0.005052631578947379,nan
star-96,96,0.04,0.02,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005473684210526324,nan
star-96,96,0.16,0.005,400,True,2,190,190,96,1,190,0,380,285,285,1.3333333333333333,0.0023182927592465307,0.3797203657386533
star-96,96,0.16,0.01,200,False,1,0,95,1,0,0,0,95,95,95,1.0,0.004421052631578968,nan
star-96,96,0.16,0.02,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.006105263157894725,nan
binary-depth-7,255,0.01,0.005,400,False,6,0,400,137,0,0,0,400,582,400,1.0,0.00201245012485762,nan
binary-depth-7,255,0.01,0.01,200,False,5,0,226,78,0,0,0,226,274,226,1.0,0.0024967969323842405,nan
binary-depth-7,255,0.01,0.02,100,False,4,0,102,36,0,0,0,102,94,102,1.0851063829787233,0.003114432574457459,nan
binary-depth-7,255,0.04,0.005,400,False,5,0,252,87,0,0,0,252,210,252,1.2,0.001844209551627928,nan
binary-depth-7,255,0.04,0.01,200,False,4,0,114,40,0,0,0,114,138,114,1.0,0.0035165607593814437,nan
binary-depth-7,255,0.04,0.02,100,False,4,0,88,31,0,0,0,88,94,88,1.0,0.0046361022684315405,nan
binary-depth-7,255,0.16,0.005,400,True,3,11,13,5,2,22,59,94,74,92,1.2702702702702702,0.0020126389208631247,0.38241788418291267
binary-depth-7,255,0.16,0.01,200,True,3,11,13,5,2,22,12,47,30,30,1.5666666666666667,0.005241717622745885,0.38241788418291267
binary-depth-7,255,0.16,0.02,100,True,3,11,13,5,2,22,9,44,30,30,1.4666666666666666,0.007692799687939034,0.38241788418291267
broom-48-47,96,0.01,0.005,400,False,5,0,1162,613,0,0,0,1162,1303,1162,1.0,0.0037395574880774,nan
broom-48-47,96,0.01,0.01,200,False,5,0,745,397,0,0,0,745,966,745,1.0,0.0068883340209588174,nan
broom-48-47,96,0.01,0.02,100,False,4,0,417,226,0,0,0,417,482,417,1.0,0.012690823691033443,nan
broom-48-47,96,0.04,0.005,400,False,4,0,252,137,0,0,0,252,299,252,1.0,0.0029928118686986136,nan
broom-48-47,96,0.04,0.01,200,False,4,0,148,82,0,0,0,148,184,148,1.0,0.00738499540252593,nan
broom-48-47,96,0.04,0.02,100,False,4,0,103,58,0,0,0,103,99,103,1.0404040404040404,0.012352262375627891,nan
broom-48-47,96,0.16,0.005,400,True,3,7,13,8,0,0,32,45,48,45,1.0,0.0027761877275238223,0.20778048058408238
broom-48-47,96,0.16,0.01,200,True,3,7,13,8,0,0,17,30,35,30,1.0,0.006889022392167513,0.20778048058408238
broom-48-47,96,0.16,0.02,100,True,3,7,13,8,0,0,14,27,27,27,1.0,0.00835012000900063,0.20778048058408238
grid-12x12,144,0.01,0.005,400,False,6,0,1259,361,0,0,0,1259,1590,1259,1.0,0.0023517597129978276,nan
grid-12x12,144,0.01,0.01,200,False,5,0,454,136,0,0,0,454,400,454,1.135,0.003940099765467234,nan
grid-12x12,144,0.01,0.02,100,False,4,0,156,50,0,0,0,156,130,156,1.2,0.0059091035485702515,nan
grid-12x12,144,0.04,0.005,400,False,5,0,403,120,0,0,0,403,364,403,1.1071428571428572,0.0026541285212904452,nan
grid-12x12,144,0.04,0.01,200,False,5,0,232,71,0,0,0,232,228,232,1.0175438596491229,0.004039471867267645,nan
grid-12x12,144,0.04,0.02,100,False,4,0,80,27,0,0,0,80,94,80,1.0,0.008364488937377174,nan
grid-12x12,144,0.16,0.005,400,True,3,12,14,5,1,12,76,102,76,96,1.3421052631578947,0.00236839097204365,0.37556360201956507
grid-12x12,144,0.16,0.01,200,True,3,12,14,5,1,12,28,54,60,48,1.125,0.005157616124861911,0.37556360201956507
grid-12x12,144,0.16,0.02,100,True,3,12,14,5,1,12,8,34,28,28,1.2142857142857142,0.009204690973771662,0.37556360201956507
