family,vertices,alpha,epsilon,cap,succeeded,checkpoint_count,envelope_volume,priority_work,priority_pushes,scratch_iterations,scratch_work,cleanup_work,total_work,direct_appr_work,direct_priority_work,ratio_to_best_direct,semantic_error,published_mass_deficit
path-96,96,0.01,0.05,40,False,4,0,126,71,0,0,0,126,126,126,1.0,0.029857953970266825,nan
path-96,96,0.01,0.1,20,False,3,0,42,25,0,0,0,42,32,42,1.3125,0.045915025611261186,nan
path-96,96,0.04,0.05,40,False,3,0,48,28,0,0,0,48,59,48,1.0,0.027789830425015292,nan
path-96,96,0.04,0.1,20,False,3,0,21,13,0,0,0,21,21,21,1.0,0.04961841497474036,nan
path-96,96,0.16,0.05,40,True,3,7,13,8,0,0,2,15,15,15,1.0,0.023365078182602028,0.20778048058408238
path-96,96,0.16,0.1,20,False,2,0,9,6,0,0,0,9,9,9,1.0,0.03730554339903987,nan
cycle-96,96,0.01,0.05,40,False,4,0,84,42,0,0,0,84,64,84,1.3125,0.022957513244433393,nan
cycle-96,96,0.01,0.1,20,False,3,0,18,9,0,0,0,18,18,18,1.0,0.032559982401061886,nan
cycle-96,96,0.04,0.05,40,False,3,0,42,21,0,0,0,42,42,42,1.0,0.0248092074873702,nan
cycle-96,96,0.04,0.1,20,False,3,0,18,9,0,0,0,18,18,18,1.0,0.03757104676540266,nan
cycle-96,96,0.16,0.05,40,True,3,8,10,5,1,8,2,20,18,18,1.1111111111111112,0.02590512116117925,0.35041518151908524
cycle-96,96,0.16,0.1,20,False,2,0,8,4,0,0,0,8,8,8,1.0,0.036734693877551024,nan
star-96,96,0.01,0.05,40,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005315789473684197,nan
star-96,96,0.01,0.1,20,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005315789473684197,nan
star-96,96,0.04,0.05,40,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005473684210526324,nan
star-96,96,0.04,0.1,20,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005473684210526324,nan
star-96,96,0.16,0.05,40,False,0,0,0,0,0,0,0,0,0,0,0.0,0.006105263157894725,nan
star-96,96,0.16,0.1,20,False,0,0,0,0,0,0,0,0,0,0,0.0,0.006105263157894725,nan
binary-depth-7,255,0.01,0.05,40,False,3,0,30,11,0,0,0,30,30,30,1.0,0.005167349467625552,nan
binary-depth-7,255,0.01,0.1,20,False,2,0,10,4,0,0,0,10,10,10,1.0,0.006548739493212712,nan
binary-depth-7,255,0.04,0.05,40,False,2,0,10,4,0,0,0,10,10,10,1.0,0.013985893570456069,nan
binary-depth-7,255,0.04,0.1,20,False,2,0,10,4,0,0,0,10,10,10,1.0,0.013985893570456069,nan
binary-depth-7,255,0.16,0.05,40,False,2,0,10,4,0,0,0,10,10,10,1.0,0.014921801378834539,nan
binary-depth-7,255,0.16,0.1,20,False,2,0,8,3,0,0,0,8,8,8,1.0,0.034914671948484834,nan
broom-48-47,96,0.01,0.05,40,False,4,0,126,71,0,0,0,126,126,126,1.0,0.029857953220371217,nan
broom-48-47,96,0.01,0.1,20,False,3,0,42,25,0,0,0,42,32,42,1.3125,0.045915024903949976,nan
broom-48-47,96,0.04,0.05,40,False,3,0,48,28,0,0,0,48,59,48,1.0,0.027789830425015292,nan
broom-48-47,96,0.04,0.1,20,False,3,0,21,13,0,0,0,21,21,21,1.0,0.04961841497474036,nan
broom-48-47,96,0.16,0.05,40,True,3,7,13,8,0,0,2,15,15,15,1.0,0.023365078182602028,0.20778048058408238
broom-48-47,96,0.16,0.1,20,False,2,0,9,6,0,0,0,9,9,9,1.0,0.03730554339903987,nan
grid-12x12,144,0.01,0.05,40,False,4,0,46,15,0,0,0,46,28,46,1.6428571428571428,0.009507604989622203,nan
grid-12x12,144,0.01,0.1,20,False,2,0,10,4,0,0,0,10,10,10,1.0,0.011253741596480932,nan
grid-12x12,144,0.04,0.05,40,False,3,0,28,10,0,0,0,28,28,28,1.0,0.015060796430910569,nan
grid-12x12,144,0.04,0.1,20,False,2,0,10,4,0,0,0,10,10,10,1.0,0.020102636702609734,nan
grid-12x12,144,0.16,0.05,40,False,2,0,10,4,0,0,0,10,10,10,1.0,0.021259305759125713,nan
grid-12x12,144,0.16,0.1,20,False,2,0,8,3,0,0,0,8,8,8,1.0,0.036959997214150435,nan
