family,vertices,alpha,epsilon,rho,certified,checkpoint_factor,candidate_kind,support_nodes,support_volume,appr_work,raced_appr_work,verifier_work,raw_sequential_work,stage2_work,strict_two_stage_work,strict_raced_total,strict_ratio,reused_stage2_work,reused_two_stage_work,reused_raced_total,reused_ratio,semantic_error,total_work,direct_work,ratio,attempts,minimum_active,maximum_boundary_key
path-1024,1024,0.01,0.0001,0.0001,False,0.0,direct-fallback,0,0,5078,6312,952,6030,0,6030,12624,2.0,0,6030,12624,2.0,nan,7264,6312,1.1508238276299112,8,1.1263654870986991e-05,2.5282692697972357e-06
path-1024,1024,0.01,0.0005,0.0005,False,0.0,direct-fallback,0,0,2658,3399,688,3346,0,3346,6798,2.0,0,3346,6798,2.0,nan,4087,3399,1.2024124742571345,8,5.572063848522825e-05,1.2432153139539766e-05
path-1024,1024,0.01,0.001,0.001,False,0.0,direct-fallback,0,0,1789,2658,576,2365,0,2365,5316,2.0,0,2365,5316,2.0,nan,3234,2658,1.216704288939052,8,0.00014539234371807895,3.6747783398661214e-05
path-1024,1024,0.01,0.002,0.002,False,0.0,direct-fallback,0,0,1306,1789,472,1778,0,1778,3578,2.0,0,1778,3578,2.0,nan,2261,1789,1.2638345444382337,8,0.00023381778231861827,5.355613027089255e-05
path-1024,1024,0.01,0.005,0.005,False,0.0,direct-fallback,0,0,745,1162,336,1081,0,1081,2324,2.0,0,1081,2324,2.0,nan,1498,1162,1.2891566265060241,8,0.0004247841446115761,7.797136022871692e-05
path-1024,1024,0.04,0.0001,0.0001,False,0.0,direct-fallback,0,0,827,985,455,1282,0,1282,1970,2.0,0,1282,1970,2.0,nan,1440,985,1.4619289340101522,7,1.6788111559386097e-05,4.122224364711213e-08
path-1024,1024,0.04,0.0005,0.0005,False,0.0,direct-fallback,0,0,507,631,343,850,0,850,1262,2.0,0,850,1262,2.0,nan,974,631,1.543581616481775,7,8.70735162777836e-05,1.2694626671087265e-06
path-1024,1024,0.04,0.001,0.001,False,0.0,direct-fallback,0,0,344,507,287,631,0,631,1014,2.0,0,631,1014,2.0,nan,794,507,1.5660749506903353,7,0.00023758430955862677,2.40702486536657e-05
path-1024,1024,0.04,0.002,0.002,True,2.0,appr-plus-boundary,13,25,275,275,259,534,49,583,688,2.0,25,559,688,2.0,0.0010276462172345224,534,344,1.552325581395349,7,0.00018972657198218078,-4.8741748612056256e-05
path-1024,1024,0.04,0.005,0.005,False,0.0,direct-fallback,0,0,148,252,175,323,0,323,504,2.0,0,323,504,2.0,nan,427,252,1.6944444444444444,7,0.0012239720560641072,0.0001325871816018597
path-1024,1024,0.16,0.0001,0.0001,True,2.0,appr-plus-boundary,11,21,127,140,140,267,41,308,296,2.0,21,288,296,2.0,3.583565551361181e-05,280,148,1.8918918918918919,4,1.1115533878250307e-05,-1.9326269437531762e-05
path-1024,1024,0.16,0.0005,0.0005,False,0.0,direct-fallback,0,0,81,98,98,189,0,189,196,2.0,0,189,196,2.0,nan,196,98,2.0,4,8.591487118087622e-05,-8.762166760275398e-05
path-1024,1024,0.16,0.001,0.001,False,0.0,direct-fallback,0,0,60,81,81,152,0,152,162,2.0,0,152,162,2.0,nan,162,81,2.0,4,0.0002957071515270398,-0.0001384536240818123
path-1024,1024,0.16,0.002,0.002,False,0.0,direct-fallback,0,0,51,60,60,156,0,156,120,2.0,0,156,120,2.0,nan,120,60,2.0,5,-0.00027571895266061694,-0.000534432688813074
path-1024,1024,0.16,0.005,0.005,False,0.0,direct-fallback,0,0,30,45,45,90,0,90,90,2.0,0,90,90,2.0,nan,90,45,2.0,4,0.0018641064969693254,-0.0005777594626368345
cycle-1024,1024,0.01,0.0001,0.0001,False,0.0,direct-fallback,0,0,7788,10156,1680,9468,0,9468,20312,2.0,0,9468,20312,2.0,nan,11836,10156,1.1654194564789286,8,8.698807069129411e-06,1.6305267392229473e-06
cycle-1024,1024,0.01,0.0005,0.0005,False,0.0,direct-fallback,0,0,3578,5316,1152,4730,0,4730,10632,2.0,0,4730,10632,2.0,nan,6468,5316,1.216704288939052,8,7.269617115171507e-05,1.8373892699406894e-05
cycle-1024,1024,0.01,0.001,0.001,False,0.0,direct-fallback,0,0,2612,3578,944,3556,0,3556,7156,2.0,0,3556,7156,2.0,nan,4522,3578,1.2638345444382337,8,0.00011690889045213424,2.677806613547022e-05
cycle-1024,1024,0.01,0.002,0.002,False,0.0,direct-fallback,0,0,1730,2612,736,2466,0,2466,5224,2.0,0,2466,5224,2.0,nan,3348,2612,1.2817764165390506,8,0.00018192544679427957,3.539288621180421e-05
cycle-1024,1024,0.01,0.005,0.005,False,0.0,direct-fallback,0,0,834,1490,480,1314,0,1314,2980,2.0,0,1314,2980,2.0,nan,1970,1490,1.3221476510067114,8,0.0005812321512078018,0.00013273095618008103
cycle-1024,1024,0.04,0.0001,0.0001,False,0.0,direct-fallback,0,0,1276,1654,798,2074,0,2074,3308,2.0,0,2074,3308,2.0,nan,2452,1654,1.482466747279323,7,2.305330130617047e-05,2.167698158132605e-06
cycle-1024,1024,0.04,0.0005,0.0005,False,0.0,direct-fallback,0,0,688,1014,574,1262,0,1262,2028,2.0,0,1262,2028,2.0,nan,1588,1014,1.5660749506903353,7,0.00011879215407207245,1.203512532687845e-05
