family,vertices,alpha,epsilon,rho,exact_lane_wins,rounds,support_nodes,support_volume,active_lane_work,stage2_work,strict_two_stage_work,strict_raced_total,strict_ratio,reused_stage2_work,reused_two_stage_work,reused_raced_total,reused_ratio,semantic_error,direct_work,raced_total_work,ratio,batch_word
path-1024,1024,0.01,0.0001,0.0001,True,38,38,75,2850,149,2999,5998,0.9502534854245881,75,2925,5850,0.9268060836501901,4.878578782793845e-05,6312,5700,0.903041825095057,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.01,0.0005,0.0005,True,30,30,59,1770,117,1887,3774,1.1103265666372462,59,1829,3658,1.0761988820241248,0.0002429375953513464,3399,3540,1.0414827890556047,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.01,0.001,0.001,True,26,26,51,1326,101,1427,2854,1.073739653875094,51,1377,2754,1.036117381489842,0.0005421200020635672,2658,2652,0.9977426636568849,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.01,0.002,0.002,True,23,23,45,1035,89,1124,2248,1.2565679150363331,45,1080,2160,1.2073784237003913,0.000989796601847199,1789,2070,1.1570709893795417,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.01,0.005,0.005,True,18,18,35,630,69,699,1398,1.2030981067125646,35,665,1330,1.144578313253012,0.00269958394763829,1162,1260,1.0843373493975903,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.04,0.0001,0.0001,True,21,21,41,861,81,942,1884,1.9126903553299492,41,902,1804,1.831472081218274,4.009715464289552e-05,985,1722,1.7482233502538072,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.04,0.0005,0.0005,True,17,17,33,561,65,626,1252,1.9841521394611727,33,594,1188,1.8827258320126783,0.00020299184537965863,631,1122,1.7781299524564185,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.04,0.001,0.001,True,15,15,29,435,57,492,984,1.9408284023668638,29,464,928,1.8303747534516766,0.0004567316521042321,507,870,1.7159763313609468,"1,1,1,1,1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.04,0.002,0.002,True,13,13,25,325,49,374,688,2.0,25,350,688,2.0,0.0010276462172345224,344,650,1.8895348837209303,"1,1,1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.04,0.005,0.005,True,11,11,21,231,41,272,504,2.0,21,252,504,2.0,0.002312203988777676,252,462,1.8333333333333333,"1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.16,0.0001,0.0001,False,11,11,21,231,41,272,296,2.0,21,252,296,2.0,3.583565551361181e-05,148,296,2.0,"1,1,1,1,1,1,1,1,1,1"
path-1024,1024,0.16,0.0005,0.0005,False,9,9,17,153,33,186,196,2.0,17,170,196,2.0,0.00019510523557410872,98,196,2.0,"1,1,1,1,1,1,1,1"
path-1024,1024,0.16,0.001,0.001,False,8,8,15,120,29,149,162,2.0,15,135,162,2.0,0.0004552455496729203,81,162,2.0,"1,1,1,1,1,1,1"
path-1024,1024,0.16,0.002,0.002,False,7,7,13,91,25,116,120,2.0,13,104,120,2.0,0.0010622396159034808,60,120,2.0,"1,1,1,1,1,1"
path-1024,1024,0.16,0.005,0.005,False,6,6,11,66,21,87,90,2.0,11,77,90,2.0,0.0024785591037747878,45,90,2.0,"1,1,1,1,1"
