family,vertices,alpha,epsilon,shock_radius,green_radius,shock_attempted,shock_passed,envelope_volume,exposure_work,shock_cg_iterations,shock_work,final_cg_iterations,final_work,total_work,direct_work,ratio,semantic_error
path-96,96,0.01,0.0001,-1,52,False,False,105,105,0,0,52,5460,5565,6312,0.8816539923954373,2.9389410604060543e-06
path-96,96,0.01,0.0005,-1,44,False,False,89,89,0,0,44,3916,4005,3399,1.17828773168579,1.4634984571527647e-05
path-96,96,0.01,0.001,-1,41,False,False,83,83,0,0,40,3320,3403,2658,1.2802859292701279,3.2658254670139826e-05
path-96,96,0.01,0.002,-1,37,False,False,75,75,0,0,37,2775,2850,1789,1.593068753493572,5.962707401655948e-05
path-96,96,0.01,0.005,-1,33,False,False,67,67,0,0,32,2144,2211,1162,1.9027538726333908,0.00016262764647656752
path-96,96,0.04,0.0001,-1,26,False,False,53,53,0,0,26,1378,1431,985,1.4527918781725888,5.280283738982121e-06
path-96,96,0.04,0.0005,-1,22,False,False,45,45,0,0,22,990,1035,631,1.6402535657686212,2.6731436428597013e-05
path-96,96,0.04,0.001,-1,20,False,False,41,41,0,0,20,820,861,507,1.698224852071006,6.014573196434329e-05
path-96,96,0.04,0.002,-1,18,False,False,37,37,0,0,18,666,703,344,2.0436046511627906,0.00013532789691977242
path-96,96,0.04,0.005,-1,16,False,False,33,33,0,0,16,528,561,252,2.2261904761904763,0.000304487768069488
path-96,96,0.16,0.0001,-1,12,False,False,25,25,0,0,13,325,350,148,2.364864864864865,6.582059175969518e-06
path-96,96,0.16,0.0005,-1,10,False,False,21,21,0,0,11,231,252,96,2.625,3.583565551361181e-05
path-96,96,0.16,0.001,-1,9,False,False,19,19,0,0,10,190,209,77,2.7142857142857144,8.36165295317609e-05
path-96,96,0.16,0.002,-1,8,False,False,17,17,0,0,9,153,170,60,2.8333333333333335,0.00019510523557410872
path-96,96,0.16,0.005,-1,7,False,False,15,15,0,0,8,120,135,45,3.0,0.0004552455496729203
cycle-96,96,0.01,0.0001,-1,52,False,False,192,192,0,0,49,9408,9600,10156,0.9452540370224498,5.887846720064156e-17
cycle-96,96,0.01,0.0005,-1,44,False,False,178,178,0,0,42,7476,7654,5316,1.4398043641835967,1.1914763877165259e-05
cycle-96,96,0.01,0.001,-1,41,False,False,166,166,0,0,38,6308,6474,3578,1.8093907210732252,2.4833712520995277e-05
cycle-96,96,0.01,0.002,-1,37,False,False,150,150,0,0,35,5250,5400,2612,2.0673813169984685,4.4777711557542355e-05
cycle-96,96,0.01,0.005,-1,33,False,False,134,134,0,0,30,4020,4154,1490,2.787919463087248,0.00012155732166393135
cycle-96,96,0.04,0.0001,-1,26,False,False,106,106,0,0,25,2650,2756,1654,1.6662636033857317,3.960212835679344e-06
cycle-96,96,0.04,0.0005,-1,22,False,False,90,90,0,0,21,1890,1980,1014,1.952662721893491,2.0048577327658663e-05
cycle-96,96,0.04,0.001,-1,20,False,False,82,82,0,0,19,1558,1640,688,2.383720930232558,4.510929897601785e-05
cycle-96,96,0.04,0.002,-1,18,False,False,74,74,0,0,18,1332,1406,538,2.613382899628253,6.766394846172645e-05
cycle-96,96,0.04,0.005,-1,16,False,False,66,66,0,0,15,990,1056,296,3.5675675675675675,0.0002283658260526613
cycle-96,96,0.16,0.0001,-1,12,False,False,50,50,0,0,12,600,650,254,2.559055118110236,7.679069038631104e-06
cycle-96,96,0.16,0.0005,-1,10,False,False,42,42,0,0,10,420,462,154,3.0,4.1808264765880454e-05
cycle-96,96,0.16,0.001,-1,9,False,False,38,38,0,0,9,342,380,120,3.1666666666666665,9.755261778705439e-05
cycle-96,96,0.16,0.002,-1,8,False,False,34,34,0,0,9,306,340,102,3.3333333333333335,9.755261778705439e-05
cycle-96,96,0.16,0.005,-1,7,False,False,30,30,0,0,8,240,270,60,4.5,0.0002276227748364602
