family,vertices,alpha,epsilon,rho,support_nodes,support_volume,support_radius,rppr_discovery_work,green_radius,green_volume,green_work,direct_ppr_work,rppr_to_green,rppr_to_direct
path-1024,1024,0.01,0.0001,5e-05,41,81,40,45518,52,105,5565,6312,8.179335130278526,7.2113434727503165
path-1024,1024,0.04,0.0001,5e-05,22,43,21,6594,26,53,1431,985,4.6079664570230605,6.694416243654822
cycle-1024,1024,0.01,0.0001,5e-05,75,150,37,82138,52,210,10710,10156,7.669281045751634,8.087632926348956
cycle-1024,1024,0.04,0.0001,5e-05,41,82,20,11930,26,106,2756,1654,4.328737300435414,7.212817412333736
star-1024,1024,0.01,0.0001,5e-05,1024,2046,1,1054713,52,2046,6138,116622,171.83333333333334,9.043859649122806
star-1024,1024,0.04,0.0001,5e-05,1024,2046,1,281325,26,2046,6138,29667,45.833333333333336,9.482758620689655
binary-depth-10,2047,0.01,0.0001,5e-05,2047,4092,10,1996082,52,4092,49104,129100,40.65008960573477,15.461518202943454
binary-depth-10,2047,0.04,0.0001,5e-05,2047,4092,10,484078,26,4092,49104,6778,9.858219289670902,71.41900265565063
grid-32x32,1024,0.01,0.0001,5e-05,324,1254,27,564368,52,3768,184632,36317,3.056718228692751,15.540050114271553
grid-32x32,1024,0.04,0.0001,5e-05,125,474,16,61588,26,1458,36450,4981,1.6896570644718794,12.364585424613532
