family,vertices,alpha,epsilon,succeeded,radius,envelope_volume,exposure_work,appr_prefix_work,appr_prefix_pushes,zero_cg_iterations,warm_cg_iterations,warm_cg_work,hybrid_work,direct_work,ratio,semantic_error
path-96,96,0.01,0.0001,True,52,105,105,104,59,52,45,4725,4934,6312,0.7816856780735107,2.9389410604060543e-06
path-96,96,0.01,0.0005,True,44,89,89,89,50,44,37,3293,3471,3399,1.0211827007943513,1.4634984571527647e-05
path-96,96,0.01,0.001,True,41,83,83,83,47,40,34,2822,2988,2658,1.1241534988713318,2.674357146111552e-05
path-96,96,0.01,0.002,True,37,75,75,74,42,37,30,2250,2399,1789,1.3409726103968698,6.0068240878982005e-05
path-96,96,0.01,0.005,True,33,67,67,67,38,32,26,1742,1876,1162,1.6144578313253013,0.00016262764647656752
path-96,96,0.04,0.0001,True,26,53,53,52,30,26,20,1060,1165,985,1.1827411167512691,5.991167187128921e-06
path-96,96,0.04,0.0005,True,22,45,45,45,26,22,16,720,810,631,1.2836767036450079,2.921933325140848e-05
path-96,96,0.04,0.001,True,20,41,41,41,24,20,15,615,697,507,1.3747534516765285,5.401670526512004e-05
path-96,96,0.04,0.002,True,18,37,37,37,22,18,14,518,592,344,1.7209302325581395,9.021859794651494e-05
path-96,96,0.04,0.005,True,16,33,33,32,19,16,12,396,461,252,1.8293650793650793,0.00020299184537965863
path-96,96,0.16,0.0001,True,12,25,25,25,15,13,8,200,250,148,1.6891891891891893,6.742072068755491e-06
path-96,96,0.16,0.0005,True,10,21,21,20,12,11,7,147,188,96,1.9583333333333333,3.583565551361181e-05
path-96,96,0.16,0.001,True,9,19,19,18,11,10,6,114,151,77,1.9610389610389611,8.36165295317609e-05
path-96,96,0.16,0.002,True,8,17,17,17,10,9,5,85,119,60,1.9833333333333334,0.00019510523557410872
path-96,96,0.16,0.005,True,7,15,15,15,9,8,4,60,90,45,2.0,0.0004552455496729203
cycle-96,96,0.01,0.0001,True,52,192,192,192,96,49,44,8448,8832,10156,0.8696337140606538,6.03235320257088e-07
cycle-96,96,0.01,0.0005,True,44,178,178,178,89,42,35,6230,6586,5316,1.2389014296463507,1.1914763877165259e-05
cycle-96,96,0.01,0.001,True,41,166,166,166,83,38,32,5312,5644,3578,1.577417551704863,2.077458447318909e-05
cycle-96,96,0.01,0.002,True,37,150,150,150,75,35,29,4350,4650,2612,1.7802450229709035,3.7576807555982284e-05
cycle-96,96,0.01,0.005,True,33,134,134,134,67,30,24,3216,3484,1490,2.338255033557047,0.00012155732166393135
cycle-96,96,0.04,0.0001,True,26,106,106,106,53,25,19,2014,2226,1654,1.3458282950423217,4.3896775348671725e-06
cycle-96,96,0.04,0.0005,True,22,90,90,90,45,21,16,1440,1620,1014,1.5976331360946745,1.4791333371771284e-05
cycle-96,96,0.04,0.001,True,20,82,82,82,41,19,15,1230,1394,688,2.0261627906976742,3.0072865986312237e-05
cycle-96,96,0.04,0.002,True,18,74,74,74,37,18,12,888,1036,538,1.9256505576208178,0.00010149592269105616
cycle-96,96,0.04,0.005,True,16,66,66,66,33,15,11,726,858,296,2.8986486486486487,0.00016136565666115916
cycle-96,96,0.16,0.0001,True,12,50,50,50,25,12,8,400,500,254,1.968503937007874,3.3710360343777505e-06
cycle-96,96,0.16,0.0005,True,10,42,42,42,21,10,7,294,378,154,2.4545454545454546,1.7917827756805907e-05
cycle-96,96,0.16,0.001,True,9,38,38,38,19,9,6,228,304,120,2.533333333333333,4.1808264765880454e-05
cycle-96,96,0.16,0.002,True,8,34,34,34,17,9,5,170,238,102,2.3333333333333335,9.755261778705439e-05
cycle-96,96,0.16,0.005,True,7,30,30,30,15,8,4,120,180,60,3.0,0.0002276227748364602
star-96,96,0.01,0.0001,True,52,190,190,190,96,2,2,380,760,22135,0.034334763948497854,1.691355389077387e-16
star-96,96,0.01,0.0005,True,44,190,190,190,96,2,2,380,760,14535,0.05228758169934641,1.691355389077387e-16
star-96,96,0.01,0.001,True,41,190,190,190,96,2,2,380,760,11210,0.06779661016949153,1.691355389077387e-16
star-96,96,0.01,0.002,True,37,190,190,190,96,2,2,380,760,7980,0.09523809523809523,1.691355389077387e-16
star-96,96,0.01,0.005,True,33,190,190,190,96,2,2,380,760,3610,0.21052631578947367,1.691355389077387e-16
star-96,96,0.04,0.0001,True,26,190,190,190,96,2,2,380,760,5605,0.13559322033898305,4.2500725161431774e-17
star-96,96,0.04,0.0005,True,22,190,190,190,96,2,2,380,760,3705,0.20512820512820512,4.2500725161431774e-17
star-96,96,0.04,0.001,True,20,190,190,190,96,2,2,380,760,2850,0.26666666666666666,4.2500725161431774e-17
star-96,96,0.04,0.002,True,18,190,190,190,96,2,2,380,760,1995,0.38095238095238093,4.2500725161431774e-17
star-96,96,0.04,0.005,True,16,190,190,190,96,2,2,380,760,950,0.8,4.2500725161431774e-17
star-96,96,0.16,0.0001,True,12,190,190,190,96,2,2,380,760,1425,0.5333333333333333,2.949029909160572e-17
star-96,96,0.16,0.0005,True,10,190,190,190,96,2,2,380,760,950,0.8,2.949029909160572e-17
star-96,96,0.16,0.001,True,9,190,190,190,96,2,2,380,760,760,1.0,2.949029909160572e-17
star-96,96,0.16,0.002,True,8,190,190,190,96,2,2,380,760,570,1.3333333333333333,2.949029909160572e-17
star-96,96,0.16,0.005,True,7,190,190,190,96,2,2,380,760,285,2.6666666666666665,2.949029909160572e-17
binary-depth-7,255,0.01,0.0001,True,52,508,508,508,173,8,17,8636,9652,44532,0.2167430162579718,1.823286544356574e-06
binary-depth-7,255,0.01,0.0005,True,44,508,508,508,173,8,13,6604,7620,24082,0.3164189020845445,5.232121805370891e-06
binary-depth-7,255,0.01,0.001,True,41,508,508,508,173,8,12,6096,7112,15284,0.46532321381837216,5.956911321347482e-06
binary-depth-7,255,0.01,0.002,True,37,508,508,508,173,8,11,5588,6604,6452,1.023558586484811,6.204846904436917e-06
binary-depth-7,255,0.01,0.005,False,33,400,400,0,0,0,0,0,800,400,2.0,nan
binary-depth-7,255,0.04,0.0001,True,26,508,508,506,172,8,11,5588,6602,9692,0.6811803549319027,1.0011413111812876e-06
binary-depth-7,255,0.04,0.0005,True,22,508,508,506,172,8,9,4572,5586,4592,1.2164634146341464,4.144401530176791e-06
binary-depth-7,255,0.04,0.001,True,20,508,508,506,172,8,9,4572,5586,2182,2.5600366636113656,4.144401530176791e-06
binary-depth-7,255,0.04,0.002,True,18,508,508,506,172,8,8,4064,5078,576,8.815972222222221,1.201059824459005e-05
binary-depth-7,255,0.04,0.005,False,16,400,400,0,0,0,0,0,610,210,2.9047619047619047,nan
binary-depth-7,255,0.16,0.0001,True,12,508,508,508,172,8,5,2540,3556,1244,2.8585209003215435,3.871695294194556e-06
binary-depth-7,255,0.16,0.0005,True,10,508,508,386,131,8,4,2032,2926,386,7.580310880829016,1.8952622241503966e-05
binary-depth-7,255,0.16,0.001,True,9,508,508,186,64,8,4,2032,2726,186,14.655913978494624,2.8862687782633576e-05
binary-depth-7,255,0.16,0.002,True,8,508,508,184,63,8,3,1524,2216,184,12.043478260869565,9.560155996870444e-05
binary-depth-7,255,0.16,0.005,False,7,400,400,0,0,0,0,0,474,74,6.405405405405405,nan
broom-48-47,96,0.01,0.0001,True,52,190,190,190,105,48,40,7600,7980,6312,1.2642585551330798,1.2474008186565648e-06
broom-48-47,96,0.01,0.0005,True,44,89,89,89,50,44,37,3293,3471,3399,1.0211827007943513,1.2266327957973284e-05
broom-48-47,96,0.01,0.001,True,41,83,83,83,47,40,34,2822,2988,2658,1.1241534988713318,2.5682116822348266e-05
broom-48-47,96,0.01,0.002,True,37,75,75,74,42,37,30,2250,2399,1789,1.3409726103968698,5.9592576181149946e-05
broom-48-47,96,0.01,0.005,True,33,67,67,67,38,32,26,1742,1876,1162,1.6144578313253013,0.00016241448872239333
broom-48-47,96,0.04,0.0001,True,26,53,53,52,30,26,20,1060,1165,985,1.1827411167512691,5.991167130836245e-06
broom-48-47,96,0.04,0.0005,True,22,45,45,45,26,22,16,720,810,631,1.2836767036450079,2.921933324028894e-05
broom-48-47,96,0.04,0.001,True,20,41,41,41,24,20,15,615,697,507,1.3747534516765285,5.401670526182538e-05
broom-48-47,96,0.04,0.002,True,18,37,37,37,22,18,14,518,592,344,1.7209302325581395,9.021859794157293e-05
broom-48-47,96,0.04,0.005,True,16,33,33,32,19,16,12,396,461,252,1.8293650793650793,0.0002029918453774622
broom-48-47,96,0.16,0.0001,True,12,25,25,25,15,13,8,200,250,148,1.6891891891891893,6.742072068755491e-06
broom-48-47,96,0.16,0.0005,True,10,21,21,20,12,11,7,147,188,96,1.9583333333333333,3.583565551361181e-05
broom-48-47,96,0.16,0.001,True,9,19,19,18,11,10,6,114,151,77,1.9610389610389611,8.36165295317609e-05
broom-48-47,96,0.16,0.002,True,8,17,17,17,10,9,5,85,119,60,1.9833333333333334,0.00019510523557410872
broom-48-47,96,0.16,0.005,True,7,15,15,15,9,8,4,60,90,45,2.0,0.0004552455496729203
grid-12x12,144,0.01,0.0001,True,52,528,528,527,156,35,29,15312,16367,38872,0.42104856966454,1.9897267096566276e-07
grid-12x12,144,0.01,0.0005,True,44,528,528,527,156,33,26,13728,14783,14214,1.0400309553960885,1.6621332601597342e-06
grid-12x12,144,0.01,0.001,True,41,528,528,527,156,31,25,13200,14255,7452,1.912909286097692,3.95515119474829e-06
grid-12x12,144,0.01,0.002,True,37,528,528,527,156,30,23,12144,13199,3792,3.4807489451476794,1.0378497531589698e-05
grid-12x12,144,0.01,0.005,False,33,400,400,0,0,0,0,0,1659,1259,1.3177124702144558,nan
grid-12x12,144,0.04,0.0001,True,26,528,528,525,155,24,17,8976,10029,5004,2.0041966426858515,1.2527893099986726e-06
grid-12x12,144,0.04,0.0005,True,22,528,528,525,155,20,13,6864,7917,2127,3.7221438645980256,1.0464335997125964e-05
grid-12x12,144,0.04,0.001,True,20,520,520,517,153,19,12,6240,7277,1491,4.880617035546613,1.3796337636963418e-05
grid-12x12,144,0.04,0.002,True,18,496,496,494,147,17,10,4960,5950,880,6.761363636363637,2.7671750261591006e-05
grid-12x12,144,0.04,0.005,False,16,400,400,0,0,0,0,0,764,364,2.098901098901099,nan
grid-12x12,144,0.16,0.0001,True,12,328,328,326,97,12,5,1640,2294,587,3.9080068143100513,2.5880593309345335e-06
grid-12x12,144,0.16,0.0005,True,10,242,242,242,73,10,4,968,1452,312,4.653846153846154,1.2728029675158404e-05
grid-12x12,144,0.16,0.001,True,9,200,200,198,60,9,4,800,1198,202,5.930693069306931,1.773195931086128e-05
grid-12x12,144,0.16,0.002,True,8,162,162,146,45,8,4,648,956,146,6.5479452054794525,3.45025024305962e-05
grid-12x12,144,0.16,0.005,True,7,128,128,96,30,7,3,384,608,76,8.0,0.00011201220804073137
