family,vertices,alpha,epsilon,radius,cap,succeeded,envelope_volume,exposure_work,cg_iterations,cg_work,lane_work,fallback_work,total_sequential_work,direct_work,lane_ratio,sequential_ratio,semantic_error
path-1024,1024,0.01,0.0001,52,20000,True,105,105,52,5460,5565,0,5565,6312,0.8816539923954373,0.8816539923954373,2.938940966374037e-06
cycle-1024,1024,0.01,0.0001,52,20000,True,210,210,50,10500,10710,0,10710,10156,1.0545490350531705,1.0545490350531705,2.1951349193287666e-06
star-1024,1024,0.01,0.0001,52,20000,True,2046,2046,2,4092,6138,0,6138,116622,0.05263157894736842,0.05263157894736842,4.666516875289607e-16
binary-depth-10,2047,0.01,0.0001,52,20000,True,4092,4092,11,45012,49104,0,49104,129100,0.38035631293570876,0.38035631293570876,2.4532694666933983e-18
grid-32x32,1024,0.01,0.0001,52,20000,True,3768,3768,48,180864,184632,0,184632,36317,5.083900101880662,5.083900101880662,4.907235483881763e-07
broom-512-511,1024,0.01,0.0001,52,20000,True,105,105,52,5460,5565,0,5565,6312,0.8816539923954373,0.8816539923954373,2.938940966374037e-06
path-1024,1024,0.01,0.0005,44,4000,True,89,89,44,3916,4005,0,4005,3399,1.17828773168579,1.17828773168579,1.4634984552644503e-05
cycle-1024,1024,0.01,0.0005,44,4000,True,178,178,42,7476,7654,0,7654,5316,1.4398043641835967,1.4398043641835967,1.0931068709074037e-05
star-1024,1024,0.01,0.0005,44,4000,True,2046,2046,2,4092,6138,0,6138,34782,0.17647058823529413,0.17647058823529413,4.666516875289607e-16
binary-depth-10,2047,0.01,0.0005,44,4000,False,4000,4000,0,0,4000,4176,8176,4176,0.9578544061302682,1.9578544061302683,0.00023286805041042817
grid-32x32,1024,0.01,0.0005,44,4000,True,3320,3320,39,129480,132800,0,132800,12845,10.338653172440639,10.338653172440639,2.156965984986257e-06
broom-512-511,1024,0.01,0.0005,44,4000,True,89,89,44,3916,4005,0,4005,3399,1.17828773168579,1.17828773168579,1.4634984552644503e-05
path-1024,1024,0.04,0.0001,26,20000,True,53,53,26,1378,1431,0,1431,985,1.4527918781725888,1.4527918781725888,5.280283738982121e-06
cycle-1024,1024,0.04,0.0001,26,20000,True,106,106,25,2650,2756,0,2756,1654,1.6662636033857317,1.6662636033857317,3.960212804236588e-06
star-1024,1024,0.04,0.0001,26,20000,True,2046,2046,2,4092,6138,0,6138,29667,0.20689655172413793,0.20689655172413793,4.4148590614664574e-17
binary-depth-10,2047,0.04,0.0001,26,20000,True,4092,4092,11,45012,49104,0,49104,6778,7.244614930658011,7.244614930658011,9.813077866773593e-18
grid-32x32,1024,0.04,0.0001,26,20000,True,1458,1458,24,34992,36450,0,36450,4981,7.317807669142742,7.317807669142742,1.104243454132631e-06
broom-512-511,1024,0.04,0.0001,26,20000,True,53,53,26,1378,1431,0,1431,985,1.4527918781725888,1.4527918781725888,5.280283738982121e-06
