family,vertices,alpha,epsilon,succeeded,checkpoint,halo_depth,support_volume,envelope_volume,prefix_work,exposure_work,scan_work,cg_iterations,cg_work,total_work,direct_work,ratio,semantic_error
path-96,96,0.01,0.005,True,1,32,1,65,1,64,65,32,2080,2210,1162,1.9018932874354562,0.00013305898348151454
path-96,96,0.01,0.01,True,11,16,21,53,270,32,53,27,1431,1786,745,2.3973154362416107,0.00044355272896172356
path-96,96,0.01,0.02,True,7,16,13,45,72,32,45,23,1035,1184,417,2.839328537170264,0.0009897966018474786
path-96,96,0.04,0.005,True,7,8,13,29,61,16,29,14,406,512,252,2.0317460317460316,0.0004567316521042321
path-96,96,0.04,0.01,True,6,8,11,27,39,16,27,14,378,460,148,3.108108108108108,0.0006850974781563482
path-96,96,0.04,0.02,True,4,8,7,23,16,16,23,12,276,331,99,3.3434343434343434,0.0015414693258517837
path-96,96,0.16,0.005,True,4,4,7,15,13,8,15,5,75,111,45,2.466666666666667,0.0004552455496729203
path-96,96,0.16,0.01,True,5,2,9,13,22,4,13,4,52,91,30,3.033333333333333,0.0010622396159034808
path-96,96,0.16,0.02,True,4,2,7,11,13,4,11,4,44,72,27,2.6666666666666665,0.0024785591037747878
cycle-96,96,0.01,0.005,True,25,16,50,114,860,64,114,29,3306,4344,1490,2.915436241610738,0.0001485342927545813
cycle-96,96,0.01,0.01,True,15,16,30,94,238,64,94,31,2914,3310,834,3.968824940047962,0.00040494334908195
cycle-96,96,0.01,0.02,True,9,16,18,82,62,64,82,27,2214,2422,328,7.384146341463414,0.0007393070715506925
cycle-96,96,0.04,0.005,True,11,8,22,54,86,32,54,15,810,982,296,3.3175675675675675,0.00034254873907853766
cycle-96,96,0.04,0.01,True,7,8,14,46,34,32,46,14,644,756,198,3.8181818181818183,0.0007707346629260537
cycle-96,96,0.04,0.02,True,3,8,6,38,6,32,38,10,380,456,96,4.75,0.0017341529915833294
cycle-96,96,0.16,0.005,True,9,2,18,26,46,8,26,4,104,184,60,3.066666666666667,0.0005311198079517404
cycle-96,96,0.16,0.01,True,7,2,14,22,28,8,22,4,88,146,54,2.7037037037037037,0.001239279551887394
cycle-96,96,0.16,0.02,True,1,4,2,18,2,16,18,4,72,108,32,3.375,0.002891652287737253
star-96,96,0.01,0.005,True,1,1,95,190,95,95,190,2,380,760,3610,0.21052631578947367,3.9898639947466563e-17
star-96,96,0.01,0.01,True,1,1,95,190,95,95,190,2,380,760,285,2.6666666666666665,3.9898639947466563e-17
star-96,96,0.01,0.02,False,0,0,0,0,0,0,0,0,0,0,0,1.0,0.005315789473684197
star-96,96,0.04,0.005,True,1,1,95,190,95,95,190,2,380,760,950,0.8,8.933825901280557e-17
star-96,96,0.04,0.01,True,1,1,95,190,95,95,190,2,380,760,95,8.0,8.933825901280557e-17
star-96,96,0.04,0.02,False,0,0,0,0,0,0,0,0,0,0,0,1.0,0.005473684210526324
star-96,96,0.16,0.005,True,1,1,95,190,95,95,190,2,380,760,285,2.6666666666666665,2.168404344971009e-17
star-96,96,0.16,0.01,True,1,1,95,190,95,95,190,2,380,760,95,8.0,2.168404344971009e-17
star-96,96,0.16,0.02,False,0,0,0,0,0,0,0,0,0,0,0,1.0,0.006105263157894725
binary-depth-7,255,0.01,0.005,False,0,0,0,0,400,0,0,0,0,400,400,1.0,0.00201245012485762
