family,vertices,alpha,epsilon,cap,succeeded,trigger_radius,envelope_volume,exposure_work,attempt_count,scratch_iterations,scratch_work,fallback_work,total_work,direct_appr_work,direct_priority_work,ratio_to_best_direct,semantic_error,leakage_budget,terminal_error_bar
path-96,96,0.01,0.005,400,True,31,63,190,6,63,2667,0,2857,1303,1162,2.4586919104991396,0.00016262764647656752,0.0025,5.500987265451931e-17
path-96,96,0.01,0.01,200,True,31,63,190,6,63,2667,0,2857,966,745,3.8348993288590605,0.00016262764647656752,0.005,5.500987265451931e-17
path-96,96,0.01,0.02,100,True,31,63,63,6,63,2667,0,2730,482,417,6.546762589928058,0.00016262764647656752,0.01,5.500987265451931e-17
path-96,96,0.04,0.005,400,True,15,31,190,5,31,651,0,841,299,252,3.3373015873015874,0.000304487768069488,0.0025,2.0407517686366494e-18
path-96,96,0.04,0.01,200,True,15,31,190,5,31,651,0,841,184,148,5.6824324324324325,0.000304487768069488,0.005,2.0407517686366494e-18
path-96,96,0.04,0.02,100,True,15,31,63,5,31,651,0,714,99,103,7.212121212121212,0.000304487768069488,0.01,2.0407517686366494e-18
path-96,96,0.16,0.005,400,True,7,15,190,4,15,155,0,345,48,45,7.666666666666667,0.0004552455496729203,0.0025,1.9224039012476773e-18
path-96,96,0.16,0.01,200,True,7,15,190,4,14,140,0,330,35,30,11.0,0.0010622396159034808,0.005,0.00375555769328425
path-96,96,0.16,0.02,100,True,7,15,63,4,14,140,0,203,27,27,7.518518518518518,0.0010622396159034808,0.01,0.00375555769328425
cycle-96,96,0.01,0.005,400,True,31,126,192,6,63,5334,0,5526,1932,1490,3.7087248322147652,8.144606234473494e-05,0.0025,9.329733999459811e-18
cycle-96,96,0.01,0.01,200,True,31,126,192,6,63,5334,0,5526,964,834,6.625899280575539,8.144606234473494e-05,0.005,9.329733999459811e-18
cycle-96,96,0.01,0.02,100,False,-1,0,62,5,31,1302,396,1760,328,396,5.365853658536586,0.011315811860041998,0.01,nan
cycle-96,96,0.04,0.005,400,True,15,62,192,5,31,1302,0,1494,368,296,5.047297297297297,0.00015224388403556192,0.0025,4.338680344840999e-18
cycle-96,96,0.04,0.01,200,True,15,62,192,5,31,1302,0,1494,198,206,7.545454545454546,0.00015224388403556192,0.005,4.338680344840999e-18
