family,vertices,alpha,certificate,target_deficit,radius,envelope_vertices,envelope_volume,full_volume,volume_fraction,principal_mass,mass_deficit
path-96,96,0.01,exact-mass-ready,0.1,14,15,29,190,0.15263157894736842,0.9016615010664617,0.0983384989335383
path-96,96,0.01,aesp-half-slack,0.05,18,19,37,190,0.19473684210526315,0.9558465305656518,0.04415346943434817
path-96,96,0.04,exact-mass-ready,0.2,5,6,11,190,0.05789473684210526,0.8257599381555327,0.17424006184446728
path-96,96,0.04,aesp-half-slack,0.1,7,8,15,190,0.07894736842105263,0.9220817411623787,0.07791825883762127
path-96,96,0.16,exact-mass-ready,0.4,1,2,3,190,0.015789473684210527,0.6446414182111202,0.3553585817888798
path-96,96,0.16,aesp-half-slack,0.2,2,3,5,190,0.02631578947368421,0.8435351163222896,0.1564648836777104
cycle-96,96,0.01,exact-mass-ready,0.1,14,29,58,192,0.3020833333333333,0.9016615010664628,0.09833849893353719
cycle-96,96,0.01,aesp-half-slack,0.05,18,37,74,192,0.3854166666666667,0.9558465305656525,0.0441534694343475
cycle-96,96,0.04,exact-mass-ready,0.2,5,11,22,192,0.11458333333333333,0.8257599381555333,0.17424006184446672
cycle-96,96,0.04,aesp-half-slack,0.1,7,15,30,192,0.15625,0.9220817411623794,0.0779182588376206
cycle-96,96,0.16,exact-mass-ready,0.4,1,3,6,192,0.03125,0.6446414182111201,0.3553585817888799
cycle-96,96,0.16,aesp-half-slack,0.2,2,5,10,192,0.052083333333333336,0.8435351163222897,0.15646488367771028
star-96,96,0.01,exact-mass-ready,0.1,1,96,190,190,1.0,0.9999999999999969,3.1086244689504383e-15
star-96,96,0.01,aesp-half-slack,0.05,1,96,190,190,1.0,0.9999999999999969,3.1086244689504383e-15
star-96,96,0.04,exact-mass-ready,0.2,1,96,190,190,1.0,1.0000000000000018,0.0
star-96,96,0.04,aesp-half-slack,0.1,1,96,190,190,1.0,1.0000000000000018,0.0
star-96,96,0.16,exact-mass-ready,0.4,1,96,190,190,1.0,0.9999999999999998,2.220446049250313e-16
star-96,96,0.16,aesp-half-slack,0.2,1,96,190,190,1.0,0.9999999999999998,2.220446049250313e-16
binary-depth-7,255,0.01,exact-mass-ready,0.1,7,255,508,508,1.0,1.0,0.0
binary-depth-7,255,0.01,aesp-half-slack,0.05,7,255,508,508,1.0,1.0,0.0
binary-depth-7,255,0.04,exact-mass-ready,0.2,7,255,508,508,1.0,1.0,0.0
binary-depth-7,255,0.04,aesp-half-slack,0.1,7,255,508,508,1.0,1.0,0.0
binary-depth-7,255,0.16,exact-mass-ready,0.4,2,7,20,508,0.03937007874015748,0.761860680398056,0.238139319601944
binary-depth-7,255,0.16,aesp-half-slack,0.2,3,15,44,508,0.08661417322834646,0.8669879785053458,0.1330120214946542
broom-48-47,96,0.01,exact-mass-ready,0.1,14,15,29,190,0.15263157894736842,0.9016615010664617,0.0983384989335383
broom-48-47,96,0.01,aesp-half-slack,0.05,18,19,37,190,0.19473684210526315,0.9558465305656518,0.04415346943434817
broom-48-47,96,0.04,exact-mass-ready,0.2,5,6,11,190,0.05789473684210526,0.8257599381555327,0.17424006184446728
broom-48-47,96,0.04,aesp-half-slack,0.1,7,8,15,190,0.07894736842105263,0.9220817411623787,0.07791825883762127
broom-48-47,96,0.16,exact-mass-ready,0.4,1,2,3,190,0.015789473684210527,0.6446414182111202,0.3553585817888798
broom-48-47,96,0.16,aesp-half-slack,0.2,2,3,5,190,0.02631578947368421,0.8435351163222896,0.1564648836777104
grid-12x12,144,0.01,exact-mass-ready,0.1,16,123,456,528,0.8636363636363636,0.9146362653501934,0.08536373464980662
grid-12x12,144,0.01,aesp-half-slack,0.05,18,134,496,528,0.9393939393939394,0.9536491943032778,0.04635080569672223
grid-12x12,144,0.04,exact-mass-ready,0.2,6,28,98,528,0.1856060606060606,0.8170680791314052,0.18293192086859478
grid-12x12,144,0.04,aesp-half-slack,0.1,8,45,162,528,0.3068181818181818,0.9118318290233349,0.08816817097666507
grid-12x12,144,0.16,exact-mass-ready,0.4,2,6,18,528,0.03409090909090909,0.7826952665399585,0.21730473346004153
grid-12x12,144,0.16,aesp-half-slack,0.2,3,10,32,528,0.06060606060606061,0.8958746383841223,0.10412536161587771
