family,vertices,alpha,epsilon,cap,succeeded,trigger_radius,envelope_volume,exposure_work,scratch_iterations,scratch_work,cleanup_work,fallback_work,total_work,direct_appr_work,work_ratio,semantic_error,published_mass_deficit
path-96,96,0.01,0.05,40,True,15,31,31,30,620,0,0,651,126,5.166666666666667,0.004928870005907556,0.09833849893355373
path-96,96,0.01,0.1,20,False,-1,0,15,15,155,0,32,202,32,6.3125,0.05093699234498049,nan
path-96,96,0.04,0.05,40,True,7,15,31,13,125,2,0,158,59,2.6779661016949152,0.011817443405965569,0.17424006184447083
path-96,96,0.04,0.1,20,True,7,15,15,13,125,0,0,140,21,6.666666666666667,0.017558299039780487,0.17424006184447083
path-96,96,0.16,0.05,40,True,1,3,31,3,7,6,0,44,15,2.933333333333333,0.0261079774375505,0.35535858178888047
path-96,96,0.16,0.1,20,True,1,3,15,3,7,2,0,24,9,2.6666666666666665,0.0360538736042364,0.35535858178888047
cycle-96,96,0.01,0.05,40,False,-1,0,30,15,310,0,64,404,64,6.3125,0.025468496611293044,nan
cycle-96,96,0.01,0.1,20,False,-1,0,14,7,70,0,18,102,18,5.666666666666667,0.032559982401061886,nan
cycle-96,96,0.04,0.05,40,True,7,30,30,13,250,0,0,280,42,6.666666666666667,0.008779149519890261,0.1742400618444675
cycle-96,96,0.04,0.1,20,False,-1,0,14,7,70,0,18,102,18,5.666666666666667,0.03757104676540264,nan
cycle-96,96,0.16,0.05,40,True,1,6,30,3,14,4,0,48,18,2.6666666666666665,0.01802693680211813,0.35535858178888
cycle-96,96,0.16,0.1,20,True,1,6,14,3,14,0,0,28,8,3.5,0.036734693877551024,0.35535858178888
star-96,96,0.01,0.05,40,False,-1,0,0,0,0,0,0,0,0,0.0,0.005315789473684197,nan
star-96,96,0.01,0.1,20,False,-1,0,0,0,0,0,0,0,0,0.0,0.005315789473684197,nan
star-96,96,0.04,0.05,40,False,-1,0,0,0,0,0,0,0,0,0.0,0.005473684210526324,nan
star-96,96,0.04,0.1,20,False,-1,0,0,0,0,0,0,0,0,0.0,0.005473684210526324,nan
star-96,96,0.16,0.05,40,False,-1,0,0,0,0,0,0,0,0,0.0,0.006105263157894725,nan
star-96,96,0.16,0.1,20,False,-1,0,0,0,0,0,0,0,0,0.0,0.006105263157894725,nan
binary-depth-7,255,0.01,0.05,40,False,-1,0,20,6,78,0,30,128,30,4.266666666666667,0.004822001961228763,nan
binary-depth-7,255,0.01,0.1,20,False,-1,0,20,6,78,0,10,108,10,10.8,0.00654873949321271,nan
binary-depth-7,255,0.04,0.05,40,False,-1,0,20,6,78,0,10,108,10,10.8,0.013985893570456067,nan
binary-depth-7,255,0.04,0.1,20,False,-1,0,20,6,78,0,10,108,10,10.8,0.013985893570456067,nan
binary-depth-7,255,0.16,0.05,40,True,2,20,20,6,78,0,0,98,10,9.8,0.003757334780760926,0.23813931960194512
binary-depth-7,255,0.16,0.1,20,True,2,20,20,6,78,0,0,98,8,12.25,0.003757334780760926,0.23813931960194512
broom-48-47,96,0.01,0.05,40,True,15,31,31,30,620,0,0,651,126,5.166666666666667,0.004928862955718143,0.09833849893355373
broom-48-47,96,0.01,0.1,20,False,-1,0,15,15,155,0,32,202,32,6.3125,0.050936991637669286,nan
broom-48-47,96,0.04,0.05,40,True,7,15,31,13,125,2,0,158,59,2.6779661016949152,0.011817443405965553,0.17424006184447083
broom-48-47,96,0.04,0.1,20,True,7,15,15,13,125,0,0,140,21,6.666666666666667,0.017558299039780463,0.17424006184447083
broom-48-47,96,0.16,0.05,40,True,1,3,31,3,7,6,0,44,15,2.933333333333333,0.0261079774375505,0.35535858178888047
broom-48-47,96,0.16,0.1,20,True,1,3,15,3,7,2,0,24,9,2.6666666666666665,0.0360538736042364,0.35535858178888047
grid-12x12,144,0.01,0.05,40,False,-1,0,18,6,72,0,28,118,28,4.214285714285714,0.00935433031129859,nan
grid-12x12,144,0.01,0.1,20,False,-1,0,18,6,72,0,10,100,10,10.0,0.011253741596480932,nan
grid-12x12,144,0.04,0.05,40,False,-1,0,18,6,72,0,28,118,28,4.214285714285714,0.015060796430910564,nan
grid-12x12,144,0.04,0.1,20,False,-1,0,18,6,72,0,10,100,10,10.0,0.020102636702609734,nan
grid-12x12,144,0.16,0.05,40,True,2,18,18,6,72,0,0,90,10,9.0,0.007676181658044207,0.21730473346004175
grid-12x12,144,0.16,0.1,20,True,2,18,18,6,72,0,0,90,8,11.25,0.007676181658044207,0.21730473346004175
