graph,budget,vertices,alpha,epsilon,rho,eta,tau,phases,stop,active_vertices,support_vertices,omitted_support_vertices,active_volume,support_volume,cumulative_face_volume,maximum_certified_residual_ratio,face_gap_ratio,theorem_gap_ratio,direct_semantic_ratio,stage2_certified_residual_ratio,stage2_semantic_ratio
path,balanced,96,0.01,0.005,0.0025,0.00125,0.00125,22,empty,22,22,0,43,43,484,0.894847745397572,0.0,0.0,0.493757456711133,0.7415231506270085,0.24195028045158332
path,balanced,96,0.01,0.01,0.005,0.0025,0.0025,18,empty,18,18,0,35,35,324,0.8957458236301344,0.0,0.0,0.48758869181125264,0.7170064898600319,0.26995839476383926
path,balanced,96,0.01,0.02,0.01,0.005,0.005,15,empty,15,15,0,29,29,225,0.8736240916044667,0.0,0.0,0.4750657435588848,0.6484836173304536,0.2464435002953778
path,balanced,96,0.04,0.005,0.0025,0.00125,0.00125,13,empty,13,13,0,25,25,169,0.8875523227417419,0.0,0.0,0.49697343141802963,0.5501315238645114,0.20552924344690446
path,balanced,96,0.04,0.01,0.005,0.0025,0.0025,11,empty,11,11,0,21,21,121,0.8960345492374611,0.0,0.0,0.4937869363611458,0.6113862298874989,0.2312203988777676
path,balanced,96,0.04,0.02,0.01,0.005,0.005,9,empty,9,9,0,17,17,81,0.8910931809105163,0.0,0.0,0.4875255098228698,0.8017472116710788,0.2601229487374886
path,balanced,96,0.16,0.005,0.0025,0.00125,0.00125,7,empty,7,7,0,13,13,49,0.8660394460546705,0.0,0.0,0.4984712699279026,0.6360956744708262,0.21244792318069614
path,balanced,96,0.16,0.01,0.005,0.0025,0.0025,6,empty,6,6,0,11,11,36,0.759294840446678,0.0,0.0,0.49686606092637087,0.7376502576916809,0.24785591037747878
path,balanced,96,0.16,0.02,0.01,0.005,0.005,5,empty,5,5,0,9,9,25,0.7939188914827058,0.0,0.0,0.49389901338289244,0.7956004464429653,0.2891652287737252
cycle,balanced,96,0.01,0.005,0.0025,0.00125,0.00125,18,empty,35,35,0,70,70,648,0.8823249790468841,0.0,0.0,0.48758874110712375,0.8394337549366089,0.2699599891836477
cycle,balanced,96,0.01,0.01,0.005,0.0025,0.0025,15,empty,29,29,0,58,58,450,0.8235016287676429,0.0,0.0,0.47506573813939423,0.8872335158192347,0.24644393767601838
cycle,balanced,96,0.01,0.02,0.01,0.005,0.005,12,empty,23,23,0,46,46,288,0.885628889805006,0.0,0.0,0.450898571578638,0.7784377337877696,0.22497700584216485
cycle,balanced,96,0.04,0.005,0.0025,0.00125,0.00125,11,empty,21,21,0,42,42,242,0.8907691332773623,0.0,0.0,0.4937864449407752,0.634200832697585,0.2312203988777892
cycle,balanced,96,0.04,0.01,0.005,0.0025,0.0025,9,empty,17,17,0,34,34,162,0.8470002326748465,0.0,0.0,0.48752978044617556,0.86496950395764,0.2601229487374935
cycle,balanced,96,0.04,0.02,0.01,0.005,0.005,7,empty,13,13,0,26,26,98,0.8819091742442793,0.0,0.0,0.47580934134613107,0.6225331363725257,0.29263831732967593
cycle,balanced,96,0.16,0.005,0.0025,0.00125,0.00125,6,empty,11,11,0,22,22,72,0.8555550762589174,0.0,0.0,0.49687270330909594,0.8689794164566925,0.2478559103774788
cycle,balanced,96,0.16,0.01,0.005,0.0025,0.0025,5,empty,9,9,0,18,18,50,0.8862933791960179,0.0,0.0,0.4938994528029629,0.6273326071865123,0.2891652287737253
cycle,balanced,96,0.16,0.02,0.01,0.005,0.005,4,empty,7,7,0,14,14,32,0.7423456930048745,0.0,0.0,0.48905924999586275,0.7213966833739608,0.3373594335693461
star,balanced,96,0.01,0.005,0.0025,0.00125,0.00125,2,empty,96,96,0,190,190,285,0.7382625940218848,0.0,0.0,0.5000000988859975,0.6738821717461339,0.0008363840175369328
star,balanced,96,0.01,0.01,0.005,0.0025,0.0025,2,empty,96,96,0,190,190,285,0.684777052939196,0.0,0.0,0.5000001034841811,0.7271813924909992,0.0010041779100681235
star,balanced,96,0.01,0.02,0.01,0.005,0.005,1,empty,1,1,0,95,95,95,0.6026961612447568,0.0,0.0,0.26526843658475435,0.708892848550564,0.2605263157894731
star,balanced,96,0.04,0.005,0.0025,0.00125,0.00125,2,empty,96,96,0,190,190,285,0.7385668938149886,0.0,0.0,0.5000008905381257,0.8070639871960226,0.003443438636710136
star,balanced,96,0.04,0.01,0.005,0.0025,0.0025,2,empty,96,96,0,190,190,285,0.8301426174389669,0.0,0.0,0.5000009913774849,0.8595203297025802,0.004777540172480783
star,balanced,96,0.04,0.02,0.01,0.005,0.005,1,empty,1,1,0,95,95,95,0.6565938731044411,0.0,0.0,0.27165934650038265,0.7801489871918973,0.25263157894736893
star,balanced,96,0.16,0.005,0.0025,0.00125,0.00125,2,empty,96,96,0,190,190,285,0.8092149010194918,0.0,0.0,0.5000093791232446,0.8201683896272153,0.014280040699117015
star,balanced,96,0.16,0.01,0.005,0.0025,0.0025,1,empty,1,1,0,95,95,95,0.7181966655903093,0.0,0.0,0.4580730489495456,0.8903510812418528,0.4421052631578968
star,balanced,96,0.16,0.02,0.01,0.005,0.005,1,empty,1,1,0,95,95,95,0.6045225130209778,0.0,0.0,0.29800741051170143,0.5680530930506251,0.2210526315789484
binary,balanced,127,0.01,0.005,0.0025,0.00125,0.00125,7,empty,127,127,0,252,252,606,0.8647678396997143,0.0,0.0,0.5000000652040103,0.8693723117440584,0.0010302262269099895
binary,balanced,127,0.01,0.01,0.005,0.0025,0.0025,5,empty,31,31,0,92,92,166,0.8148031642662021,0.0,0.0,0.3649182455629837,0.656240604986582,0.33255386978689316
binary,balanced,127,0.01,0.02,0.01,0.005,0.005,4,empty,15,15,0,44,44,74,0.6856179604768559,0.0,0.0,0.22992489205110972,0.6991101221939021,0.18293955003128376
binary,balanced,127,0.04,0.005,0.0025,0.00125,0.00125,6,empty,63,63,0,188,188,354,0.8989724660280366,0.0,0.0,0.45428200538938107,0.5851281591061144,0.3780545022420832
binary,balanced,127,0.04,0.01,0.005,0.0025,0.0025,5,empty,31,31,0,92,92,166,0.8821836782017887,0.0,0.0,0.3658569757164261,0.7198165361654077,0.20477952204779512
binary,balanced,127,0.04,0.02,0.01,0.005,0.005,4,empty,15,15,0,44,44,74,0.875449916908715,0.0,0.0,0.3040225057837283,0.8267893184141755,0.14373947220662542
binary,balanced,127,0.16,0.005,0.0025,0.00125,0.00125,4,empty,15,15,0,44,44,74,0.7814917210470879,0.0,0.0,0.4631463154454904,0.6426316837014683,0.22286165127395927
binary,balanced,127,0.16,0.01,0.005,0.0025,0.0025,4,empty,15,15,0,44,44,74,0.8365215970487847,0.0,0.0,0.4483209761378601,0.8310761356545546,0.11143082563697963
binary,balanced,127,0.16,0.02,0.01,0.005,0.005,3,empty,7,7,0,20,20,30,0.8847366289711868,0.0,0.0,0.4260678262323793,0.7394902518822266,0.18946732575334446
broom,balanced,96,0.01,0.005,0.0025,0.00125,0.00125,22,empty,22,22,0,43,43,484,0.8922595992444378,0.0,0.0,0.4937573404882101,0.6867388914263494,0.241950272126101
broom,balanced,96,0.01,0.01,0.005,0.0025,0.0025,18,empty,18,18,0,35,35,324,0.8888785773669275,0.0,0.0,0.48758869025245094,0.8899510121315989,0.26995839289732404
broom,balanced,96,0.01,0.02,0.01,0.005,0.005,15,empty,15,15,0,29,29,225,0.8662802793655833,0.0,0.0,0.4750656687134036,0.8428622410073086,0.24644349978335603
broom,balanced,96,0.04,0.005,0.0025,0.00125,0.00125,13,empty,13,13,0,25,25,169,0.8222674518145295,0.0,0.0,0.496973817545715,0.8097775104169483,0.20552924344690446
broom,balanced,96,0.04,0.01,0.005,0.0025,0.0025,11,empty,11,11,0,21,21,121,0.8266168187468805,0.0,0.0,0.49378636226949657,0.6092721300169787,0.2312203988777676
broom,balanced,96,0.04,0.02,0.01,0.005,0.005,9,empty,9,9,0,17,17,81,0.8795987859365288,0.0,0.0,0.48753154532155674,0.5858069530078416,0.2601229487374886
broom,balanced,96,0.16,0.005,0.0025,0.00125,0.00125,7,empty,7,7,0,13,13,49,0.8763980019566541,0.0,0.0,0.4984775183567991,0.7660095428859389,0.21244792318069614
broom,balanced,96,0.16,0.01,0.005,0.0025,0.0025,6,empty,6,6,0,11,11,36,0.8768520556758126,0.0,0.0,0.4968803477320538,0.659819225777815,0.24785591037747878
broom,balanced,96,0.16,0.02,0.01,0.005,0.005,5,empty,5,5,0,9,9,25,0.8505033849947624,0.0,0.0,0.49389210372578485,0.6132890917941042,0.2891652287737252
grid,balanced,100,0.01,0.005,0.0025,0.00125,0.00125,12,empty,56,56,0,206,206,1154,0.8994361364520977,0.0,0.0,0.4231701278857716,0.7348697095137212,0.30915951638513905
grid,balanced,100,0.01,0.01,0.005,0.0025,0.0025,9,empty,33,33,0,118,118,506,0.8589798609674351,0.0,0.0,0.3526197131040419,0.6418619802288232,0.22842222062868892
grid,balanced,100,0.01,0.02,0.01,0.005,0.005,6,empty,19,19,0,66,66,176,0.8831035313011308,0.0,0.0,0.27784553550856234,0.7643591822484195,0.1854234110964532
grid,balanced,100,0.04,0.005,0.0025,0.00125,0.00125,9,empty,32,32,0,114,114,496,0.8190921398642548,0.0,0.0,0.4577393883493948,0.6645365586573515,0.2284663211514124
grid,balanced,100,0.04,0.01,0.005,0.0025,0.0025,7,empty,20,20,0,70,70,246,0.8954284614054437,0.0,0.0,0.4302816616199335,0.6796032475801451,0.2562846915463162
grid,balanced,100,0.04,0.02,0.01,0.005,0.005,5,empty,13,13,0,44,44,104,0.7801448488544231,0.0,0.0,0.38795453742737485,0.6867881328960871,0.21956687758810126
grid,balanced,100,0.16,0.005,0.0025,0.00125,0.00125,5,empty,13,13,0,44,44,104,0.8376794761089755,0.0,0.0,0.485457577611946,0.7629504179675014,0.28933821121747044
grid,balanced,100,0.16,0.01,0.005,0.0025,0.0025,4,empty,10,10,0,32,32,60,0.86106502730133,0.0,0.0,0.47506622013226313,0.5600432463075667,0.3225466248804197
grid,balanced,100,0.16,0.02,0.01,0.005,0.005,4,empty,8,8,0,26,26,54,0.8959532484615099,0.0,0.0,0.4580021198045991,0.7755796356258324,0.2336996898838514
random_tree,balanced,100,0.01,0.005,0.0025,0.00125,0.00125,8,empty,79,79,0,162,162,697,0.8631270620859344,0.0,0.0,0.49253817273593564,0.6299647343983624,0.46216576674975385
random_tree,balanced,100,0.01,0.01,0.005,0.0025,0.0025,7,empty,50,50,0,109,109,420,0.8885333824894083,0.0,0.0,0.46457916076644107,0.6958139757943994,0.3499261112909586
random_tree,balanced,100,0.01,0.02,0.01,0.005,0.005,6,empty,31,31,0,66,66,237,0.8698999100739032,0.0,0.0,0.4293316740018695,0.7261949589270246,0.30675631930342273
random_tree,balanced,100,0.04,0.005,0.0025,0.00125,0.00125,7,empty,46,46,0,102,102,420,0.827142951203397,0.0,0.0,0.49636503745939653,0.7218467024553562,0.3128449667273426
random_tree,balanced,100,0.04,0.01,0.005,0.0025,0.0025,6,empty,33,33,0,77,77,265,0.8565078974636569,0.0,0.0,0.4928881465956724,0.6779310588722357,0.3966819190706089
random_tree,balanced,100,0.04,0.02,0.01,0.005,0.005,6,empty,23,23,0,54,54,212,0.8859670316216697,0.0,0.0,0.4781496396659009,0.6482710493301682,0.37772259726938845
random_tree,balanced,100,0.16,0.005,0.0025,0.00125,0.00125,6,empty,25,25,0,57,57,221,0.8776239866477099,0.0,0.0,0.4994154989193359,0.8010470789629773,0.380044490240487
