family,vertices,alpha,epsilon,engine,stage1_work,stage1_pushes,envelope_volume,reference_support_volume,handoff_semantic_error,tail_iterations,stage2_work,total_work,semantic_error,screen_succeeded
path-96,96,0.01,0.05,appr-direct-ppr,126,70,15,13,0.030761486975257803,0,0,126,0.030761486975257803,
path-96,96,0.01,0.05,green-ball-screen-or-appr,165,70,15,13,0.030761486975257803,0,0,165,0.030761486975257803,False
path-96,96,0.01,0.05,priority-gs-direct-ppr,126,71,15,190,0.029857953970266762,0,0,126,0.029857953970266762,
path-96,96,0.01,0.05,appr-envelope,388,208,23,19,0.014666869321739662,13,299,687,0.02541865828328989,
path-96,96,0.01,0.05,gs-gap-envelope-oracle-stop,990,521,15,23,0.02008161304032927,14,210,1200,0.022876792454960895,
path-96,96,0.01,0.05,priority-gs-positive-key-envelope,497,270,13,23,0.024544193715957997,13,169,666,0.02541865828328989,
path-96,96,0.01,0.05,priority-gs-positive-key-envelope-tuned,479,262,13,19,0.026846816808794846,14,182,661,0.024544193715957997,
path-96,96,0.01,0.1,appr-direct-ppr,32,19,9,7,0.0509369923449805,0,0,32,0.0509369923449805,
path-96,96,0.01,0.1,green-ball-screen-or-appr,51,19,9,7,0.0509369923449805,0,0,51,0.0509369923449805,False
path-96,96,0.01,0.1,priority-gs-direct-ppr,42,25,9,190,0.04591502561126116,0,0,42,0.04591502561126116,
path-96,96,0.01,0.1,appr-envelope,126,70,15,13,0.030761486975257803,6,90,216,0.05314409999999988,
path-96,96,0.01,0.1,gs-gap-envelope-oracle-stop,373,201,7,17,0.044812512806502204,4,28,401,0.06560999999999988,
path-96,96,0.01,0.1,priority-gs-positive-key-envelope,181,102,7,17,0.044812512806502204,4,28,209,0.06560999999999988,
path-96,96,0.01,0.1,priority-gs-positive-key-envelope-tuned,168,96,7,13,0.04505488798380419,6,42,210,0.05314409999999988,
path-96,96,0.04,0.05,appr-direct-ppr,59,34,11,9,0.02306123540017538,0,0,59,0.02306123540017538,
path-96,96,0.04,0.05,green-ball-screen-or-appr,21,0,21,190,nan,10,210,231,0.02147483647999987,True
path-96,96,0.04,0.05,priority-gs-direct-ppr,48,28,11,190,0.027789830425015233,0,0,48,0.027789830425015233,
path-96,96,0.04,0.05,appr-envelope,116,64,15,13,0.010925573753755524,10,150,266,0.02147483647999987,
path-96,96,0.04,0.05,gs-gap-envelope-oracle-stop,201,109,11,15,0.018631244116337403,11,121,322,0.017558299039780487,
path-96,96,0.04,0.05,priority-gs-positive-key-envelope,124,70,11,15,0.020432280460968302,11,121,245,0.017558299039780487,
path-96,96,0.04,0.05,priority-gs-positive-key-envelope-tuned,125,71,9,13,0.026962514312201202,11,99,224,0.026337448559670736,
path-96,96,0.04,0.1,appr-direct-ppr,21,13,7,7,0.04961841497474033,0,0,21,0.04961841497474033,
path-96,96,0.04,0.1,green-ball-screen-or-appr,19,0,19,190,nan,7,133,152,0.041943039999999876,True
path-96,96,0.04,0.1,priority-gs-direct-ppr,21,13,7,190,0.04961841497474033,0,0,21,0.04961841497474033,
