family,vertices,alpha,epsilon,succeeded,radius,envelope_volume,exposure_work,cg_iterations,cg_work,boundary_work,total_work,direct_work,ratio,semantic_error,maximum_leakage_upper
path-96,96,0.01,0.0001,True,49,99,99,50,4950,1,5050,6312,0.800063371356147,4.390269901604566e-06,4.3902698302002094e-07
path-96,96,0.01,0.0005,True,41,83,83,42,3486,1,3570,3399,1.0503089143865842,2.1862137430788743e-05,2.1862136373262357e-06
path-96,96,0.01,0.001,True,37,75,75,38,2850,1,2926,2658,1.1008276899924756,4.8785787833603105e-05,4.878577621671069e-06
path-96,96,0.01,0.002,True,34,69,69,35,2415,1,2485,1789,1.3890441587479039,8.90725426628914e-05,8.907247199050066e-06
path-96,96,0.01,0.005,True,29,59,59,30,1770,1,1830,1162,1.5748709122203097,0.000242937595352484,2.4293616157449264e-05
path-96,96,0.04,0.0001,True,24,49,49,25,1225,1,1275,985,1.2944162436548223,7.920425608473183e-06,1.5840851192102905e-06
path-96,96,0.04,0.0005,True,20,41,41,21,861,1,903,631,1.4310618066561014,4.009715464289552e-05,8.01943060624183e-06
path-96,96,0.04,0.001,True,18,37,37,19,703,1,741,507,1.4615384615384615,9.021859794651494e-05,1.8043715917679712e-05
path-96,96,0.04,0.002,True,17,35,35,18,630,1,666,344,1.936046511627907,0.00013532789691977242,2.7065566992228703e-05
path-96,96,0.04,0.005,True,14,29,29,15,435,1,465,252,1.8452380952380953,0.0004567316521042321,9.13458540435358e-05
path-96,96,0.16,0.0001,True,11,23,23,12,276,1,300,148,2.027027027027027,1.5358138077262207e-05,6.143255221848516e-06
path-96,96,0.16,0.0005,True,9,19,19,10,190,1,210,96,2.1875,8.36165295317609e-05,3.34466103511453e-05
path-96,96,0.16,0.001,True,8,17,17,9,153,1,171,77,2.220779220779221,0.00019510523557410872,7.804207566243256e-05
path-96,96,0.16,0.002,True,8,17,17,9,153,1,171,60,2.85,0.00019510523557410872,7.804207566243256e-05
path-96,96,0.16,0.005,True,7,15,15,8,120,1,136,45,3.022222222222222,0.0004552455496729203,0.00018209798399706887
cycle-96,96,0.01,0.0001,True,45,182,182,46,8372,2,8556,10156,0.8424576604962584,7.093621514980758e-06,4.898486518126458e-07
cycle-96,96,0.01,0.0005,True,37,150,150,38,5700,2,5852,5316,1.1008276899924756,2.4833712520995277e-05,2.439288810833759e-06
cycle-96,96,0.01,0.001,True,34,138,138,35,4830,2,4970,3578,1.3890441587479039,4.4777711557542355e-05,4.453623599523572e-06
cycle-96,96,0.01,0.002,True,30,122,122,31,3782,2,3906,2612,1.495405819295559,9.949175750919784e-05,9.938316908799789e-06
cycle-96,96,0.01,0.005,True,26,106,106,27,2862,2,2970,1490,1.9932885906040267,0.00022182485048821398,2.217720013599535e-05
cycle-96,96,0.04,0.0001,True,22,90,90,23,2070,2,2162,1654,1.3071342200725513,8.910478823506885e-06,1.7820957477572798e-06
cycle-96,96,0.04,0.0005,True,18,74,74,19,1406,2,1482,1014,1.4615384615384615,4.510929897601785e-05,9.021857958840027e-06
cycle-96,96,0.04,0.001,True,17,70,70,18,1260,2,1332,688,1.936046511627907,6.766394846172645e-05,1.3532783496114762e-05
cycle-96,96,0.04,0.002,True,15,62,62,16,992,2,1056,538,1.962825278810409,0.00015224388403556192,3.044870623232888e-05
cycle-96,96,0.04,0.005,True,13,54,54,14,756,2,812,296,2.7432432432432434,0.00034254873907853766,6.850894393416429e-05
cycle-96,96,0.16,0.0001,True,10,42,42,11,462,2,506,254,1.9921259842519685,1.7917827756805907e-05,7.167131045197478e-06
cycle-96,96,0.16,0.0005,True,8,34,34,9,306,2,342,154,2.220779220779221,9.755261778705439e-05,3.90210378312164e-05
cycle-96,96,0.16,0.001,True,8,34,34,9,306,2,342,120,2.85,9.755261778705439e-05,3.90210378312164e-05
cycle-96,96,0.16,0.002,True,7,30,30,8,240,2,272,102,2.6666666666666665,0.0002276227748364602,9.104899199853471e-05
cycle-96,96,0.16,0.005,True,6,26,26,7,182,2,210,60,3.5,0.0005311198079517404,0.00021244642496468926
star-96,96,0.01,0.0001,True,1,190,190,2,380,0,570,22135,0.02575107296137339,6.505213034913027e-17,0.0
star-96,96,0.01,0.0005,True,1,190,190,2,380,0,570,14535,0.0392156862745098,6.505213034913027e-17,0.0
star-96,96,0.01,0.001,True,1,190,190,2,380,0,570,11210,0.05084745762711865,6.505213034913027e-17,0.0
star-96,96,0.01,0.002,True,1,190,190,2,380,0,570,7980,0.07142857142857142,6.505213034913027e-17,0.0
star-96,96,0.01,0.005,True,1,190,190,2,380,0,570,3610,0.15789473684210525,6.505213034913027e-17,0.0
star-96,96,0.04,0.0001,True,1,190,190,2,380,0,570,5605,0.1016949152542373,4.336808689942018e-17,0.0
star-96,96,0.04,0.0005,True,1,190,190,2,380,0,570,3705,0.15384615384615385,4.336808689942018e-17,0.0
star-96,96,0.04,0.001,True,1,190,190,2,380,0,570,2850,0.2,4.336808689942018e-17,0.0
star-96,96,0.04,0.002,True,1,190,190,2,380,0,570,1995,0.2857142857142857,4.336808689942018e-17,0.0
star-96,96,0.04,0.005,True,1,190,190,2,380,0,570,950,0.6,4.336808689942018e-17,0.0
star-96,96,0.16,0.0001,True,1,190,190,2,380,0,570,1425,0.4,1.6374056345496258e-17,0.0
