family,vertices,alpha,epsilon,rho,certified,support_nodes,support_volume,sor_work,verifier_work,active_lane_work,stage2_work,strict_two_stage_work,strict_raced_total,strict_ratio,reused_stage2_work,reused_two_stage_work,reused_raced_total,reused_ratio,semantic_error,direct_work,raced_total_work,ratio,checks,pushes
path-1024,1024,0.01,0.0001,0.0001,True,38,75,16385,810,17195,149,17344,12624,2.0,75,17270,12624,2.0,4.878578782793845e-05,6312,12624,2.0,14,8352
path-1024,1024,0.01,0.0005,0.0005,True,30,59,8192,613,8805,117,8922,6798,2.0,59,8864,6798,2.0,0.0002429375953513464,3399,6798,2.0,13,4203
path-1024,1024,0.01,0.001,0.001,True,26,51,4096,480,4576,101,4677,5316,2.0,51,4627,5316,2.0,0.0005421200020635672,2658,5316,2.0,12,2118
path-1024,1024,0.01,0.002,0.002,True,23,45,4096,460,4556,89,4645,3578,2.0,45,4601,3578,2.0,0.000989796601847199,1789,3578,2.0,12,2122
path-1024,1024,0.01,0.005,0.005,True,18,35,2048,347,2395,69,2464,2324,2.0,35,2430,2324,2.0,0.00269958394763829,1162,2324,2.0,11,1074
path-1024,1024,0.04,0.0001,0.0001,True,21,41,4096,395,4491,81,4572,1970,2.0,41,4532,1970,2.0,4.009715464289552e-05,985,1970,2.0,11,2112
path-1024,1024,0.04,0.0005,0.0005,True,17,33,2048,351,2399,65,2464,1262,2.0,33,2432,1262,2.0,0.00020299184537965863,631,1262,2.0,11,1066
path-1024,1024,0.04,0.001,0.001,True,15,29,1025,278,1303,57,1360,1014,2.0,29,1332,1014,2.0,0.0004567316521042321,507,1014,2.0,10,539
path-1024,1024,0.04,0.002,0.002,True,13,25,512,221,733,49,782,688,2.0,25,758,688,2.0,0.0010276462172345224,344,688,2.0,9,273
path-1024,1024,0.04,0.005,0.005,True,11,21,512,201,713,41,754,504,2.0,21,734,504,2.0,0.002312203988777676,252,504,2.0,9,274
path-1024,1024,0.16,0.0001,0.0001,True,11,21,256,172,428,41,469,296,2.0,21,449,296,2.0,3.583565551361181e-05,148,296,2.0,8,137
path-1024,1024,0.16,0.0005,0.0005,True,9,17,128,127,255,33,288,196,2.0,17,272,196,2.0,0.00019510523557410872,98,196,2.0,7,70
path-1024,1024,0.16,0.001,0.001,True,8,15,64,94,158,29,187,162,2.0,15,173,162,2.0,0.0004552455496729203,81,162,2.0,6,36
path-1024,1024,0.16,0.002,0.002,True,7,13,64,90,154,25,179,120,2.0,13,167,120,2.0,0.0010622396159034808,60,120,2.0,6,36
path-1024,1024,0.16,0.005,0.005,True,6,11,32,65,97,21,118,90,2.0,11,108,90,2.0,0.0024785591037747878,45,90,2.0,5,19
cycle-1024,1024,0.01,0.0001,0.0001,True,67,134,16384,1300,17684,266,17950,20312,2.0,133,17817,20312,2.0,5.443322051431573e-05,10156,20312,2.0,14,8192
cycle-1024,1024,0.01,0.0005,0.0005,True,51,102,8192,978,9170,202,9372,10632,2.0,101,9271,10632,2.0,0.0002710600010317852,5316,10632,2.0,13,4096
cycle-1024,1024,0.01,0.001,0.001,True,45,90,8192,930,9122,178,9300,7156,2.0,89,9211,7156,2.0,0.0004948983009236026,3578,7156,2.0,13,4096
cycle-1024,1024,0.01,0.002,0.002,True,39,78,16384,878,17262,154,17416,5224,2.0,77,17339,5224,2.0,0.0009035797510690192,2612,5224,2.0,13,8192
cycle-1024,1024,0.01,0.005,0.005,True,29,58,4096,656,4752,114,4866,2980,2.0,57,4809,2980,2.0,0.0024644350029537606,1490,2980,2.0,12,2048
cycle-1024,1024,0.04,0.0001,0.0001,True,37,74,4096,768,4864,146,5010,3308,2.0,73,4937,3308,2.0,4.5109298973257444e-05,1654,3308,2.0,12,2048
cycle-1024,1024,0.04,0.0005,0.0005,True,29,58,2048,574,2622,114,2736,2028,2.0,57,2679,2028,2.0,0.00022836582605211602,1014,2028,2.0,11,1024
cycle-1024,1024,0.04,0.001,0.001,True,25,50,1024,452,1476,98,1574,1376,2.0,49,1525,1376,2.0,0.0005138231086172613,688,1376,2.0,10,512
cycle-1024,1024,0.04,0.002,0.002,True,21,42,512,342,854,82,936,1100,2.0,41,895,1100,2.0,0.0011561019943888383,550,1100,2.0,9,256
cycle-1024,1024,0.04,0.005,0.005,True,17,34,512,310,822,66,888,592,2.0,33,855,592,2.0,0.002601229487374887,296,592,2.0,9,256
cycle-1024,1024,0.16,0.0001,0.0001,True,19,38,256,280,536,74,610,508,2.0,37,573,508,2.0,4.1808264765880454e-05,254,508,2.0,8,128
cycle-1024,1024,0.16,0.0005,0.0005,True,15,30,256,256,512,58,570,324,2.0,29,541,324,2.0,0.0002276227748364602,162,324,2.0,8,128
cycle-1024,1024,0.16,0.001,0.001,True,13,26,128,194,322,50,372,240,2.0,25,347,240,2.0,0.0005311198079517404,120,240,2.0,7,64
cycle-1024,1024,0.16,0.002,0.002,True,11,22,64,144,208,42,250,204,2.0,21,229,204,2.0,0.001239279551887394,102,204,2.0,6,32
cycle-1024,1024,0.16,0.005,0.005,True,9,18,32,102,134,34,168,120,2.0,17,151,120,2.0,0.002891652287737253,60,120,2.0,5,16
star-1024,1024,0.01,0.0001,0.0001,True,1024,2046,1023,4092,5115,4092,9207,18414,0.15789473684210525,2047,7162,14324,0.12282416696678157,1.0847319561342647e-19,116622,10230,0.08771929824561403,1,1
star-1024,1024,0.01,0.0005,0.0005,True,1,1023,1023,1023,2046,1023,3069,6138,0.17647058823529413,1,2047,4094,0.11770455982979702,0.00048387096774164676,34782,4092,0.11764705882352941,1,1
star-1024,1024,0.01,0.001,0.001,True,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0004936461388071346,0,0,0.0,1,0
star-1024,1024,0.01,0.002,0.002,True,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0004936461388071346,0,0,0.0,1,0
