family,vertices,alpha,epsilon,radius,cap,succeeded,solver_kind,envelope_volume,exposure_work,factor_solve_work,arithmetic_updates,total_work,direct_work,ratio,semantic_error
path-1024,1024,0.01,0.0001,49,20000,True,tree-leaf-ldl,99,99,197,98,296,6312,0.046894803548795945,4.390269838657513e-06
path-1024,1024,0.01,0.0005,41,4000,True,tree-leaf-ldl,83,83,165,82,248,3399,0.07296263606943218,2.186213741814796e-05
path-1024,1024,0.01,0.001,37,2000,True,tree-leaf-ldl,75,75,149,74,224,2658,0.08427389014296463,4.878578782793845e-05
path-1024,1024,0.01,0.002,34,1000,True,tree-leaf-ldl,69,69,137,68,206,1789,0.11514812744550028,8.907254265978881e-05
path-1024,1024,0.01,0.005,29,400,True,tree-leaf-ldl,59,59,117,58,176,1162,0.1514629948364888,0.0002429375953513464
path-1024,1024,0.04,0.0001,24,20000,True,tree-leaf-ldl,49,49,97,48,146,985,0.14822335025380712,7.920425608473183e-06
path-1024,1024,0.04,0.0005,20,4000,True,tree-leaf-ldl,41,41,81,40,122,631,0.19334389857369255,4.009715464289552e-05
path-1024,1024,0.04,0.001,18,2000,True,tree-leaf-ldl,37,37,73,36,110,507,0.21696252465483234,9.021859794651494e-05
path-1024,1024,0.04,0.002,17,1000,True,tree-leaf-ldl,35,35,69,34,104,344,0.3023255813953488,0.00013532789691977242
path-1024,1024,0.04,0.005,14,400,True,tree-leaf-ldl,29,29,57,28,86,252,0.3412698412698413,0.0004567316521042321
path-1024,1024,0.16,0.0001,11,20000,True,tree-leaf-ldl,23,23,45,22,68,148,0.4594594594594595,1.5358138077262207e-05
path-1024,1024,0.16,0.0005,9,4000,True,tree-leaf-ldl,19,19,37,18,56,96,0.5833333333333334,8.36165295317609e-05
path-1024,1024,0.16,0.001,8,2000,True,tree-leaf-ldl,17,17,33,16,50,77,0.6493506493506493,0.00019510523557410872
path-1024,1024,0.16,0.002,8,1000,True,tree-leaf-ldl,17,17,33,16,50,60,0.8333333333333334,0.00019510523557410872
path-1024,1024,0.16,0.005,7,400,True,tree-leaf-ldl,15,15,29,14,44,45,0.9777777777777777,0.0004552455496729203
cycle-1024,1024,0.01,0.0001,49,20000,True,tree-leaf-ldl,198,198,394,196,592,10156,0.0582906656163844,2.1951349193287666e-06
cycle-1024,1024,0.01,0.0005,41,4000,True,tree-leaf-ldl,166,166,330,164,496,5316,0.09330323551542513,1.0931068709074037e-05
cycle-1024,1024,0.01,0.001,37,2000,True,tree-leaf-ldl,150,150,298,148,448,3578,0.1252096143096702,2.4392893913969362e-05
cycle-1024,1024,0.01,0.002,34,1000,True,tree-leaf-ldl,138,138,274,136,412,2612,0.15773353751914243,4.4536271329894684e-05
cycle-1024,1024,0.01,0.005,29,400,True,tree-leaf-ldl,118,118,234,116,352,1490,0.23624161073825503,0.00012146879767567391
cycle-1024,1024,0.04,0.0001,24,20000,True,tree-leaf-ldl,98,98,194,96,292,1654,0.17654171704957677,3.960212804236588e-06
cycle-1024,1024,0.04,0.0005,20,4000,True,tree-leaf-ldl,82,82,162,80,244,1014,0.2406311637080868,2.0048577321447747e-05
cycle-1024,1024,0.04,0.001,18,2000,True,tree-leaf-ldl,74,74,146,72,220,688,0.31976744186046513,4.5109298973257444e-05
cycle-1024,1024,0.04,0.002,17,1000,True,tree-leaf-ldl,70,70,138,68,208,538,0.38661710037174724,6.766394845988618e-05
cycle-1024,1024,0.04,0.005,14,400,True,tree-leaf-ldl,58,58,114,56,172,296,0.581081081081081,0.00022836582605211602
cycle-1024,1024,0.16,0.0001,11,20000,True,tree-leaf-ldl,46,46,90,44,136,254,0.5354330708661418,7.679069038631104e-06
cycle-1024,1024,0.16,0.0005,9,4000,True,tree-leaf-ldl,38,38,74,36,112,154,0.7272727272727273,4.1808264765880454e-05
cycle-1024,1024,0.16,0.001,8,2000,True,tree-leaf-ldl,34,34,66,32,100,120,0.8333333333333334,9.755261778705439e-05
cycle-1024,1024,0.16,0.002,8,1000,True,tree-leaf-ldl,34,34,66,32,100,102,0.9803921568627451,9.755261778705439e-05
cycle-1024,1024,0.16,0.005,7,400,True,tree-leaf-ldl,30,30,58,28,88,60,1.4666666666666666,0.0002276227748364602
star-1024,1024,0.01,0.0001,49,20000,True,tree-leaf-ldl,2046,2046,4092,2046,6138,116622,0.05263157894736842,1.0847319561342647e-19
star-1024,1024,0.01,0.0005,41,4000,True,tree-leaf-ldl,2046,2046,4092,2046,6138,34782,0.17647058823529413,1.0847319561342647e-19
star-1024,1024,0.01,0.001,37,2000,False,cap-abort,0,2000,0,0,2000,0,0.0,nan
star-1024,1024,0.01,0.002,34,1000,False,cap-abort,0,1000,0,0,1000,0,0.0,nan
star-1024,1024,0.01,0.005,29,400,False,cap-abort,0,400,0,0,400,0,0.0,nan
star-1024,1024,0.04,0.0001,24,20000,True,tree-leaf-ldl,2046,2046,4092,2046,6138,29667,0.20689655172413793,5.421010862427522e-20
star-1024,1024,0.04,0.0005,20,4000,True,tree-leaf-ldl,2046,2046,4092,2046,6138,9207,0.6666666666666666,5.421010862427522e-20
star-1024,1024,0.04,0.001,18,2000,False,cap-abort,0,2000,0,0,2000,0,0.0,nan
star-1024,1024,0.04,0.002,17,1000,False,cap-abort,0,1000,0,0,1000,0,0.0,nan
star-1024,1024,0.04,0.005,14,400,False,cap-abort,0,400,0,0,400,0,0.0,nan
star-1024,1024,0.16,0.0001,11,20000,True,tree-leaf-ldl,2046,2046,4092,2046,6138,8184,0.75,1.0847319561342647e-19
star-1024,1024,0.16,0.0005,9,4000,True,tree-leaf-ldl,2046,2046,4092,2046,6138,3069,2.0,1.0847319561342647e-19
star-1024,1024,0.16,0.001,8,2000,False,cap-abort,0,2000,0,0,2000,0,0.0,nan
star-1024,1024,0.16,0.002,8,1000,False,cap-abort,0,1000,0,0,1000,0,0.0,nan
star-1024,1024,0.16,0.005,7,400,False,cap-abort,0,400,0,0,400,0,0.0,nan
binary-depth-10,2047,0.01,0.0001,49,20000,True,tree-leaf-ldl,4092,4092,8184,4092,12276,129100,0.09508907823392719,2.4532694666933983e-18
binary-depth-10,2047,0.01,0.0005,41,4000,False,cap-abort,0,4000,0,0,8176,4176,1.9578544061302683,nan
binary-depth-10,2047,0.01,0.001,37,2000,False,cap-abort,0,2000,0,0,4536,2536,1.7886435331230284,nan
binary-depth-10,2047,0.01,0.002,34,1000,False,cap-abort,0,1000,0,0,2278,1278,1.782472613458529,nan
binary-depth-10,2047,0.01,0.005,29,400,False,cap-abort,0,400,0,0,800,400,2.0,nan
binary-depth-10,2047,0.04,0.0001,24,20000,True,tree-leaf-ldl,4092,4092,8184,4092,12276,6778,1.8111537326645029,1.5023145987371594e-18
binary-depth-10,2047,0.04,0.0005,20,4000,False,cap-abort,0,4000,0,0,6202,2202,2.8165304268846505,nan
binary-depth-10,2047,0.04,0.001,18,2000,False,cap-abort,0,2000,0,0,3160,1160,2.7241379310344827,nan
binary-depth-10,2047,0.04,0.002,17,1000,False,cap-abort,0,1000,0,0,1576,576,2.736111111111111,nan
binary-depth-10,2047,0.04,0.005,14,400,False,cap-abort,0,400,0,0,610,210,2.9047619047619047,nan
