alpha,eps,w,n,trivial,nS,volS,R_sem,supp_bd,target_classic,target_push,W_push,W_cheb,it_cheb,W_hyb,eps_warm,W_nd,m_nd,W_nd_or,W_mg,m_mg,cyc_mg,W_mg_or,m_mg_or,cyc_mg_or,volOmega_mg,volOmega_nd,mg_status,nd_status,cheb_status,push_status,err_mg,err_nd,err_cheb,err_push,wall
0.0625,0.001,25,625,False,45,180.0,3,False,4000.0,16000.0,2956.0,10467.0,27,nan,,24745.0,11,5026.0,18704.0,11,1,4687.666666666666,7,1,484.0,484.0,cert,cert,cert,ok,0.00016703407470339447,0.00016703407470339447,0.0002063562282044911,0.0007249461458847598,0.015964508056640625
0.015625,0.001,45,2025,False,61,244.0,4,False,8000.0,64000.0,11256.0,96827.0,95,nan,,120195.0,19,12202.0,67049.66666666667,19,2,13891.333333333332,9,1,1444.0,1444.0,cert,cert,cert,ok,9.348463274639787e-05,9.348463274639787e-05,9.450008221370627e-05,0.0006574172645250472,0.026239871978759766
0.00390625,0.001,85,7225,False,37,148.0,3,False,16000.0,256000.0,26624.0,288215.0,173,nan,,512120.0,31,5026.0,170957.33333333334,31,2,4687.666666666666,7,1,3844.0,3844.0,cert,cert,cert,ok,5.2726070697845835e-05,5.2726070697845835e-05,3.903710574624402e-05,0.00048258229388613576,0.06442523002624512
0.0009765625,0.001,165,27225,False,1,4.0,0,False,32000.0,1024000.0,39320.0,1930120.0,432,nan,,2112549.0,47,1429.0,434637.6666666666,47,2,875.6666666666666,5,1,8836.0,8836.0,cert,cert,cert,ok,3.053537081346786e-05,3.053537081346786e-05,8.758154761970263e-06,0.0002681809623108571,0.3401944637298584
0.000244140625,0.001,325,105625,True,0,0.0,0,False,64000.0,4096000.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.0625,0.0001,37,1369,False,137,548.0,6,False,40000.0,160000.0,14624.0,23787.0,27,24311.0,0.01,120195.0,19,55615.0,67049.66666666667,19,2,48273.0,15,2,1444.0,1444.0,cert,cert,cert,ok,7.426558995938253e-06,7.426558995938253e-06,2.116491476952943e-05,7.955168840404273e-05,0.024888992309570312
0.015625,0.0001,69,4761,False,293,1172.0,9,False,80000.0,640000.0,95812.0,214801.0,82,211427.0,0.01,512120.0,31,120195.0,170957.33333333334,31,2,84209.66666666667,19,2,3844.0,3844.0,cert,cert,cert,ok,8.892283323075974e-06,8.892283323075974e-06,8.930737139104504e-06,7.920564260063736e-05,0.05617523193359375
0.00390625,0.0001,133,17689,False,517,2068.0,12,False,160000.0,2560000.0,474388.0,1450331.0,215,1238651.0,0.01,4685411.0,63,512120.0,713096.6666666666,63,2,185821.33333333334,31,1,15876.0,15876.0,cert,cert,cert,ok,3.936064267863991e-06,2.2377801810823634e-06,3.288111871463216e-06,7.33492914944925e-05,0.22629213333129883
0.0009765625,0.0001,261,68121,False,577,2308.0,13,False,320000.0,10240000.0,1560916.0,8883356.0,503,10263917.0,0.01,19565631.0,95,512120.0,1788011.0,95,2,185821.33333333334,31,1,36100.0,36100.0,cert,cert,cert,ok,2.64578661405327e-06,2.64578661405327e-06,9.058449889506484e-07,6.160929786185564e-05,1.3532073497772217
0.000244140625,0.0001,517,267289,False,177,708.0,7,False,640000.0,40960000.0,3119336.0,78580373.0,1187,74738257.0,0.01,91010289.0,159,55615.0,4705854.666666667,159,2,40661.0,15,1,101124.0,101124.0,cert,cert,cert,ok,1.4628766960848864e-06,1.4628766960848864e-06,2.3101988442258592e-07,4.11402476307996e-05,12.251136064529419
0.0625,1e-06,53,2809,False,489,1956.0,12,False,4000000.0,16000000.0,105148.0,87157.0,36,89959.0,0.001,512120.0,31,512120.0,203753.33333333334,31,3,307457.3333333334,31,3,3844.0,3844.0,cert,cert,cert,ok,8.068345463438404e-08,8.068345463438404e-08,1.9922926466816478e-07,8.491950480197597e-07,0.05021786689758301
0.015625,1e-06,101,10201,False,1481,5924.0,21,False,8000000.0,64000000.0,1065404.0,939951.0,99,746823.0,0.01,4685411.0,63,2112549.0,985856.6666666666,63,4,811129.6666666666,47,3,15876.0,15876.0,cert,cert,cert,ok,2.1828486654953008e-08,2.1828486654953008e-08,8.628979041485635e-08,8.396869022944675e-07,0.1524190902709961
0.00390625,1e-06,197,38809,False,4117,16468.0,36,False,16000000.0,256000000.0,9607352.0,6497627.0,219,5835529.0,0.001,42420287.0,127,10166743.0,4035871.0,127,4,2147815.333333333,79,3,64516.0,64516.0,cert,cert,cert,ok,9.202834442417762e-09,5.560421157965473e-09,2.4857893755442926e-08,8.209177993684152e-07,0.8857131004333496
0.0009765625,1e-06,389,151321,False,10533,42132.0,57,False,32000000.0,1024000000.0,77173528.0,43963423.0,461,58112874.0,0.01,177250687.0,191,42420287.0,9796515.333333334,191,4,5088267.0,127,3,145924.0,145924.0,cert,cert,cert,ok,2.7204956767275908e-08,2.7204956767275908e-08,1.1027492197394277e-08,8.259535127803225e-07,7.320315599441528
0.0625,1e-08,85,7225,False,1093,4372.0,18,False,400000000.0,1600000000.0,364680.0,209279.0,45,199423.0,0.01,2112549.0,47,1104631.0,585957.6666666666,47,4,587199.0,39,4,8836.0,8836.0,cert,cert,cert,ok,2.6114504170227093e-09,2.1648418937777082e-10,2.1292610959826783e-09,8.30281502863282e-09,0.09306097030639648
0.015625,1e-08,133,17689,False,3649,14596.0,34,False,800000000.0,6400000000.0,nan,1846399.0,103,1836321.0,0.01,10166743.0,79,10166743.0,2720687.0,95,5,2657827.333333333,79,4,36100.0,24964.0,cert,cert,cert,skipped,2.130666615363097e-10,1.147475825729173e-09,7.115793928457567e-10,nan,0.2987070083618164
0.00390625,1e-08,261,68121,False,11585,46340.0,60,False,1600000000.0,25600000000.0,nan,15195221.0,231,15568717.0,0.01,91010289.0,159,42420287.0,7326006.666666667,159,5,6703207.0,127,4,101124.0,101124.0,cert,cert,cert,skipped,4.473675267041566e-10,2.9399967095830083e-10,2.4930980891420806e-10,nan,2.016634464263916
0.0009765625,1e-08,517,267289,False,35765,143060.0,106,False,3200000000.0,102400000000.0,nan,118983345.0,518,154495578.0,0.0001,836098720.0,319,388188981.0,35372925.0,319,6,27297860.333333332,255,4,407044.0,407044.0,cert,cert,cert,skipped,7.394622849034701e-11,7.394622849034701e-11,1.1868785762348806e-10,nan,15.972489595413208
