graph,alpha_log2,eps_log2,status_cert,W_WYcert,E_cert,S_cert,err_cert_over_eps,wall_cert
star,-2,-3,ok,48,2,3,3.14018491736755e-16,0.0
star,-2,-5,ok,156,2,9,4.440892098500626e-16,0.0
star,-2,-7,ok,588,2,33,2.4424906541753444e-15,0.0
star,-2,-9,ok,2316,2,129,3.454203409104305e-15,0.0
star,-2,-11,ok,9228,2,513,3.14018491736755e-15,0.01
star,-2,-13,ok,36876,2,2049,3.454203409104305e-15,0.03
star,-4,-3,ok,48,2,3,3.14018491736755e-16,0.0
star,-4,-5,ok,156,2,9,6.661338147750939e-16,0.0
star,-4,-7,ok,588,2,33,2.51214793389404e-15,0.0
star,-4,-9,ok,2316,2,129,9.420554752102649e-15,0.0
star,-4,-11,ok,9228,2,513,1.570092458683775e-15,0.01
star,-4,-13,ok,36876,2,2049,1.067662871904967e-14,0.03
star,-6,-3,ok,48,2,3,4.440892098500626e-16,0.0
star,-6,-5,ok,156,2,9,8.881784197001252e-16,0.0
star,-6,-7,ok,588,2,33,7.549516567451064e-15,0.0
star,-6,-9,ok,2316,2,129,7.222425309945365e-15,0.0
star,-6,-11,ok,9228,2,513,7.53644380168212e-15,0.01
star,-6,-13,ok,36876,2,2049,2.4424906541753444e-15,0.02
star,-8,-3,ok,48,2,3,7.549516567451064e-15,0.0
star,-8,-5,ok,156,2,9,1.6653345369377348e-14,0.0
star,-8,-7,ok,588,2,33,5.129230373768223e-14,0.0
star,-8,-9,ok,2316,2,129,0.0,0.0
star,-8,-11,ok,9228,2,513,2.888970123978146e-14,0.01
star,-8,-13,ok,36876,2,2049,1.4210854715202004e-14,0.02
star,-10,-3,ok,48,2,3,8.215650382226158e-15,0.0
star,-10,-5,ok,156,2,9,1.4758869111627485e-14,0.0
star,-10,-7,ok,588,2,33,5.684341886080802e-14,0.0
star,-10,-9,ok,2316,2,129,1.7114007799653148e-13,0.0
star,-10,-11,ok,9228,2,513,5.526725454566888e-14,0.01
star,-10,-13,ok,36876,2,2049,2.886579864025407e-15,0.02
star,-12,-3,ok,48,2,3,4.574118861455645e-14,0.0
star,-12,-5,ok,156,2,9,1.4521717162097048e-13,0.0
star,-12,-7,ok,588,2,33,5.127921970061209e-13,0.0
star,-12,-9,ok,2316,2,129,0.0,0.0
star,-12,-11,ok,9228,2,513,4.616307336391401e-13,0.01
star,-12,-13,ok,36876,2,2049,2.2766340650914735e-13,0.02
star,-14,-3,ok,48,2,3,2.731148640577885e-14,0.0
star,-14,-5,ok,156,2,9,2.431388423929093e-13,0.0
star,-14,-7,ok,588,2,33,9.556799795973347e-13,0.0
star,-14,-9,ok,2316,2,129,0.0,0.0
star,-14,-11,ok,9228,2,513,2.826166425630795e-14,0.0
star,-14,-13,ok,36876,2,2049,0.0,0.02
spider,-2,-3,ok,56,2,3,0.22499999999999973,0.0
spider,-2,-5,ok,188,2,9,0.22499999999999987,0.0
spider,-2,-7,ok,716,2,33,0.2249999999999999,0.0
spider,-2,-9,ok,2828,2,129,0.22500000000000006,0.0
spider,-2,-11,ok,11276,2,513,0.2250000000000162,0.01
spider,-2,-13,ok,45068,2,2049,0.22499999999999074,0.02
spider,-4,-3,ok,128,3,5,0.2173673911316674,0.0
spider,-4,-5,ok,458,3,17,0.2173673911316675,0.0
spider,-4,-7,ok,1778,3,65,0.2173673911316676,0.0
spider,-4,-9,ok,7058,3,257,0.21736739113166764,0.01
spider,-4,-11,ok,28178,3,1025,0.21736739113166997,0.01
spider,-4,-13,ok,112658,3,4097,0.21736739113185166,0.04
spider,-6,-3,ok,512,6,11,0.11145098592171591,0.0
spider,-6,-5,ok,1940,6,41,0.11145098592171578,0.0
spider,-6,-7,ok,7652,6,161,0.11145098592171593,0.0
spider,-6,-9,ok,30500,6,641,0.11145098592171596,0.01
spider,-6,-11,ok,121892,6,2561,0.1114509859217169,0.02
spider,-6,-13,ok,487460,6,10241,0.11145098592159193,0.11
spider,-8,-3,ok,1712,11,21,0.06344646821853589,0.0
spider,-8,-5,ok,6650,11,81,0.06344646821853595,0.0
spider,-8,-7,ok,26402,11,321,0.06344646821853597,0.01
spider,-8,-9,ok,105410,11,1281,0.06344646821853604,0.02
spider,-8,-11,ok,421442,11,5121,0.06344646821853642,0.06
spider,-8,-13,ok,1685570,11,20481,0.06344646821853825,0.27
spider,-10,-3,ok,6816,22,43,0.031766917203628384,0.01
spider,-10,-5,ok,26868,22,169,0.031766917203628266,0.01
spider,-10,-7,ok,107076,22,673,0.03176691720362835,0.02
spider,-10,-9,ok,427908,22,2689,0.03176691720362845,0.04
spider,-10,-11,ok,1711236,22,10753,0.03176691720362844,0.16
spider,-10,-13,ok,6844548,22,43009,0.031766917203629286,0.75
spider,-12,-3,ok,25968,43,85,0.016388139018916986,0.02
spider,-12,-5,ok,103098,43,337,0.016388139018917107,0.02
spider,-12,-7,ok,411618,43,1345,0.01638813901891706,0.04
spider,-12,-9,ok,1645698,43,5377,0.016388139018917336,0.11
spider,-12,-11,ok,6582018,43,21505,0.016388139018917326,0.52
spider,-12,-13,skip-size,,,,,
spider,-14,-3,ok,101316,85,169,0.00832255120945932,0.04
spider,-14,-5,ok,403734,85,673,0.00832255120945847,0.05
spider,-14,-7,ok,1613406,85,2689,0.008322551209458413,0.11
spider,-14,-9,ok,6452094,85,10753,0.008322551209458384,0.36
spider,-14,-11,ok,25806846,85,43009,0.008322551209458231,1.83
spider,-14,-13,skip-size,,,,,
spider2,-2,-3,ok,56,2,3,0.22499999999999973,0.0
spider2,-2,-5,ok,100,2,5,0.44999999999999973,0.0
spider2,-2,-7,ok,364,2,17,0.4499999999999998,0.0
spider2,-2,-9,ok,1420,2,65,0.44999999999999996,0.0
spider2,-2,-11,ok,5644,2,257,0.45000000000000223,0.0
spider2,-2,-13,ok,22540,2,1025,0.4499999999998799,0.01
spider2,-4,-3,ok,128,3,5,0.2173673911316674,0.0
spider2,-4,-5,ok,512,6,11,0.21086995913308867,0.0
spider2,-4,-7,ok,1940,6,41,0.21086995913308873,0.0
spider2,-4,-9,ok,7652,6,161,0.21086995913308887,0.0
spider2,-4,-11,ok,30500,6,641,0.21086995913308892,0.01
spider2,-4,-13,ok,121892,6,2561,0.21086995913309117,0.02
spider2,-6,-3,ok,512,6,11,0.11145098592171591,0.0
spider2,-6,-5,ok,2036,12,23,0.11117786962657138,0.0
spider2,-6,-7,ok,5452,14,53,0.1620361935150448,0.01
spider2,-6,-9,ok,21556,14,209,0.16203619351504467,0.01
spider2,-6,-11,ok,85972,14,833,0.16203619351504486,0.01
spider2,-6,-13,ok,343636,14,3329,0.16203619351504514,0.04
spider2,-8,-3,ok,1712,11,21,0.06344646821853589,0.0
spider2,-8,-5,ok,7448,23,45,0.062132049713618874,0.01
spider2,-8,-7,ok,15300,33,65,5.02429586778808e-15,0.01
spider2,-8,-9,ok,60606,33,257,2.51214793389404e-15,0.02
spider2,-8,-11,ok,241830,33,1025,2.826166425630795e-14,0.03
spider2,-8,-13,ok,966726,33,4097,9.483358450450001e-14,0.07
spider2,-10,-3,ok,6816,22,43,0.031766917203628384,0.01
spider2,-10,-5,ok,28436,45,89,0.03279907582742263,0.02
spider2,-10,-7,ok,59268,65,129,2.51214793389404e-15,0.02
spider2,-10,-9,ok,118146,65,257,5.02429586778808e-15,0.02
spider2,-10,-11,ok,471414,65,1025,2.7533531010703882e-14,0.04
