graph,alpha_log2,eps_log2,alpha,eps,n,edges,status,triv,lvl0_over_eps,W_push,W_WY,W_target,E_expansions,tightenings,winner,ratio_to_target,err_push_over_eps,err_wy_over_eps,push_maxrd_over_eps,const_push,const_wy,wy_S,wy_volS,wy_nnzlu,wy_C_adj,wy_R_adj,wy_C_rec,wy_C_resp,push_C_adj,push_R_adj,n_push,wall_push,wall_wy
btree,-2,-3,0.25,0.125,15,14,ok,0,1.8478260869565215,4,12,16.0,1,0,push,0.25,0.4728260869565215,0.4130434782608696,0.6875,0.125,0.1875,1,2,2,2,2,2,6,2,2,2,0.0,0.001
btree,-2,-4,0.25,0.0625,31,30,ok,0,3.685714285714285,12,12,32.0,1,0,push,0.375,0.5595238095238092,0.8095238095238093,0.955078125,0.1875,0.046875,1,2,2,2,2,2,6,8,4,5,0.0,0.0
btree,-2,-5,0.25,0.03125,63,62,ok,0,7.369519832985385,26,62,64.0,2,0,push,0.40625,0.606458309547885,0.3549060542797495,0.8657913208007812,0.203125,0.060546875,3,8,10,8,8,10,36,8,18,10,0.0,0.001
btree,-2,-6,0.25,0.015625,127,126,ok,0,14.738672768878718,46,62,128.0,2,0,push,0.359375,0.6050672886846264,0.7084668192219677,0.7413003444671631,0.1796875,0.01513671875,3,8,10,8,8,10,36,20,26,17,0.0,0.001
btree,-2,-7,0.25,0.0078125,255,254,ok,0,29.47727500752483,78,184,256.0,3,0,push,0.3046875,0.6956071044591496,0.3106250627069331,0.8502482548356056,0.15234375,0.01123046875,7,20,26,20,20,30,114,20,58,28,0.0,0.001
btree,-2,-8,0.25,0.00390625,511,510,ok,0,58.95453645661497,142,184,512.0,3,0,push,0.27734375,0.5937121310280334,0.6211371384581549,0.8541419607645366,0.138671875,0.0028076171875,7,20,26,20,20,30,114,44,98,50,0.0,0.001
btree,-2,-9,0.25,0.001953125,1023,1022,ok,0,117.90907030681177,186,450,1024.0,4,0,push,0.181640625,0.767548633175411,0.27233582942364926,0.9418191196773478,0.0908203125,0.00171661376953125,15,44,58,44,44,74,288,44,142,65,0.0,0.001
btree,-2,-10,0.25,0.0009765625,2047,2046,ok,0,235.8181401125763,322,450,2048.0,4,0,push,0.1572265625,0.6568415655671677,0.544662138949817,0.9838867380428211,0.07861328125,0.0004291534423828125,15,44,58,44,44,74,288,44,278,111,0.0,0.002
btree,-2,-11,0.25,0.00048828125,4095,4094,ok,0,471.6362801288334,462,1004,4096.0,5,0,push,0.11279296875,0.7896501791877123,0.2388055827775454,0.9147619384773762,0.056396484375,0.00023937225341796875,31,92,122,92,92,166,654,92,370,158,0.0,0.002
btree,-2,-12,0.25,0.000244140625,8191,8190,ok,0,943.2725602391505,686,1004,8192.0,5,0,push,0.083740234375,0.7150544800219905,0.4776103631938878,0.7917134813556214,0.0418701171875,5.984306335449219e-05,31,92,122,92,92,166,654,92,594,233,0.0,0.003
btree,-2,-13,0.25,0.0001220703125,16383,16382,ok,0,1886.5451204747417,1158,1004,16384.0,5,0,WY,0.061279296875,0.6067933278792594,0.9552205721451192,0.7987075199803026,0.03533935546875,1.4960765838623047e-05,31,92,122,92,92,166,654,188,970,391,0.0,0.003
btree,-3,-3,0.125,0.125,15,14,ok,0,1.201664025356577,4,12,22.62741699796952,1,0,push,0.1767766952966369,0.4829140253565769,0.4021394611727418,0.8385416666666666,0.0625,0.1875,1,2,2,2,2,2,6,2,2,2,0.0,0.0
btree,-3,-4,0.125,0.0625,31,30,ok,0,2.351504412480022,18,12,45.25483399593904,1,0,WY,0.26516504294495535,0.5709851389340148,0.7376485303314573,0.9772601657443576,0.140625,0.046875,1,2,2,2,2,2,6,8,10,7,0.0,0.0
btree,-3,-5,0.125,0.03125,63,62,ok,0,4.683391538294376,54,62,90.50966799187808,2,0,push,0.5966213466261495,0.43910357113059817,0.45487712682764114,0.6182547753953144,0.2109375,0.060546875,3,8,10,8,8,10,36,20,34,20,0.0,0.001
