graph,alpha_log2,eps_log2,status_po,W_push_oracle,thr_ratio
star,-2,-3,ok,8,1.3252366431597413
star,-2,-4,ok,16,1.3252366431597413
star,-2,-5,ok,32,1.3252366431597413
star,-2,-6,ok,64,1.3252366431597413
star,-2,-7,ok,128,1.3252366431597413
star,-2,-8,ok,256,1.3252366431597413
star,-2,-9,ok,512,1.3252366431597413
star,-2,-10,ok,1024,1.3252366431597413
star,-2,-11,ok,2048,1.3252366431597413
star,-2,-12,ok,4096,1.3252366431597413
star,-2,-13,ok,8192,1.3252366431597413
star,-3,-3,ok,18,1.2968395546510096
star,-3,-4,ok,36,1.2968395546510096
star,-3,-5,ok,72,1.2968395546510096
star,-3,-6,ok,144,1.2968395546510096
star,-3,-7,ok,288,1.2968395546510096
star,-3,-8,ok,576,1.2968395546510096
star,-3,-9,ok,1152,1.2968395546510096
star,-3,-10,ok,2304,1.2968395546510096
star,-3,-11,ok,4608,1.2968395546510096
star,-3,-12,ok,9216,1.2968395546510096
star,-3,-13,ok,18432,1.2968395546510096
star,-4,-3,ok,34,1.3252366431597413
star,-4,-4,ok,68,1.3252366431597413
star,-4,-5,ok,136,1.3252366431597413
star,-4,-6,ok,272,1.3252366431597413
star,-4,-7,ok,544,1.3252366431597413
star,-4,-8,ok,1088,1.3252366431597413
star,-4,-9,ok,2176,1.3252366431597413
star,-4,-10,ok,4352,1.3252366431597413
star,-4,-11,ok,8704,1.3252366431597413
star,-4,-12,ok,17408,1.3252366431597413
star,-4,-13,ok,34816,1.3252366431597413
star,-5,-3,ok,66,1.3396675240533031
star,-5,-4,ok,132,1.3396675240533031
star,-5,-5,ok,264,1.3396675240533031
star,-5,-6,ok,528,1.3396675240533031
star,-5,-7,ok,1056,1.3396675240533031
star,-5,-8,ok,2112,1.3396675240533031
star,-5,-9,ok,4224,1.3396675240533031
star,-5,-10,ok,8448,1.3396675240533031
star,-5,-11,ok,16896,1.3396675240533031
star,-5,-12,ok,33792,1.3396675240533031
star,-5,-13,ok,67584,1.3396675240533031
star,-6,-3,ok,134,1.3252366431597413
star,-6,-4,ok,268,1.3252366431597413
star,-6,-5,ok,536,1.3252366431597413
star,-6,-6,ok,1072,1.3252366431597413
star,-6,-7,ok,2144,1.3252366431597413
star,-6,-8,ok,4288,1.3252366431597413
star,-6,-9,ok,8576,1.3252366431597413
star,-6,-10,ok,17152,1.3252366431597413
star,-6,-11,ok,34304,1.3252366431597413
star,-6,-12,ok,68608,1.3252366431597413
star,-6,-13,ok,137216,1.3252366431597413
star,-7,-3,ok,268,1.3252366431597413
star,-7,-4,ok,536,1.3252366431597413
star,-7,-5,ok,1072,1.3252366431597413
star,-7,-6,ok,2144,1.3252366431597413
star,-7,-7,ok,4288,1.3252366431597413
star,-7,-8,ok,8576,1.3252366431597413
star,-7,-9,ok,17152,1.3252366431597413
star,-7,-10,ok,34304,1.3252366431597413
star,-7,-11,ok,68608,1.3252366431597413
star,-7,-12,ok,137216,1.3252366431597413
star,-7,-13,ok,274432,1.3252366431597413
star,-8,-3,ok,536,1.3252366431597413
star,-8,-4,ok,1072,1.3252366431597413
star,-8,-5,ok,2144,1.3252366431597413
star,-8,-6,ok,4288,1.3252366431597413
star,-8,-7,ok,8576,1.3252366431597413
star,-8,-8,ok,17152,1.3252366431597413
star,-8,-9,ok,34304,1.3252366431597413
star,-8,-10,ok,68608,1.3252366431597413
star,-8,-11,ok,137216,1.3252366431597413
star,-8,-12,ok,274432,1.3252366431597413
star,-8,-13,ok,548864,1.3252366431597413
star,-9,-3,ok,1074,1.3252366431597413
star,-9,-4,ok,2148,1.3252366431597413
star,-9,-5,ok,4296,1.3252366431597413
star,-9,-6,ok,8592,1.3252366431597413
star,-9,-7,ok,17184,1.3252366431597413
star,-9,-8,ok,34368,1.3252366431597413
star,-9,-9,ok,68736,1.3252366431597413
star,-9,-10,ok,137472,1.3252366431597413
star,-9,-11,ok,274944,1.3252366431597413
star,-9,-12,ok,549888,1.3252366431597413
star,-9,-13,ok,1099776,1.3252366431597413
star,-10,-3,ok,2148,1.3252366431597413
star,-10,-4,ok,4296,1.3252366431597413
star,-10,-5,ok,8592,1.3252366431597413
star,-10,-6,ok,17184,1.3252366431597413
star,-10,-7,ok,34368,1.3252366431597413
star,-10,-8,ok,68736,1.3252366431597413
star,-10,-9,ok,137472,1.3252366431597413
star,-10,-10,ok,274944,1.3252366431597413
star,-10,-11,ok,549888,1.3252366431597413
star,-10,-12,ok,1099776,1.3252366431597413
star,-10,-13,ok,2199552,1.3252366431597413
star,-11,-3,ok,4296,1.3252366431597413
star,-11,-4,ok,8592,1.3252366431597413
star,-11,-5,ok,17184,1.3252366431597413
star,-11,-6,ok,34368,1.3252366431597413
star,-11,-7,ok,68736,1.3252366431597413
star,-11,-8,ok,137472,1.3252366431597413
star,-11,-9,ok,274944,1.3252366431597413
star,-11,-10,ok,549888,1.3252366431597413
star,-11,-11,ok,1099776,1.3252366431597413
star,-11,-12,ok,2199552,1.3252366431597413
star,-11,-13,ok,4399104,1.3252366431597413
star,-12,-3,ok,8592,1.3252366431597413
star,-12,-4,ok,17184,1.3252366431597413
star,-12,-5,ok,34368,1.3252366431597413
star,-12,-6,ok,68736,1.3252366431597413
star,-12,-7,ok,137472,1.3252366431597413
star,-12,-8,ok,274944,1.3252366431597413
star,-12,-9,ok,549888,1.3252366431597413
star,-12,-10,ok,1099776,1.3252366431597413
star,-12,-11,ok,2199552,1.3252366431597413
star,-12,-12,ok,4399104,1.3252366431597413
star,-12,-13,ok,8798208,1.3252366431597413
star,-13,-3,ok,17184,1.3252366431597413
star,-13,-4,ok,34368,1.3252366431597413
star,-13,-5,ok,68736,1.3252366431597413
star,-13,-6,ok,137472,1.3252366431597413
star,-13,-7,ok,274944,1.3252366431597413
star,-13,-8,ok,549888,1.3252366431597413
star,-13,-9,ok,1099776,1.3252366431597413
star,-13,-10,ok,2199552,1.3252366431597413
star,-13,-11,ok,4399104,1.3252366431597413
star,-13,-12,ok,8798208,1.3252366431597413
star,-13,-13,ok,17596416,1.3252366431597413
star,-14,-3,ok,34368,1.3252366431597413
star,-14,-4,ok,68736,1.3252366431597413
star,-14,-5,ok,137472,1.3252366431597413
star,-14,-6,ok,274944,1.3252366431597413
star,-14,-7,ok,549888,1.3252366431597413
star,-14,-8,ok,1099776,1.3252366431597413
star,-14,-9,ok,2199552,1.3252366431597413
star,-14,-10,ok,4399104,1.3252366431597413
star,-14,-11,ok,8798208,1.3252366431597413
star,-14,-12,ok,17596416,1.3252366431597413
star,-14,-13,ok,35192832,1.3252366431597413
spider,-2,-3,ok,4,1.492907728291265
spider,-2,-4,ok,8,1.492907728291265
spider,-2,-5,ok,16,1.492907728291265
spider,-2,-6,ok,32,1.492907728291265
spider,-2,-7,ok,64,1.492907728291265
spider,-2,-8,ok,128,1.492907728291265
spider,-2,-9,ok,256,1.492907728291265
spider,-2,-10,ok,512,1.492907728291265
spider,-2,-11,ok,1024,1.492907728291265
spider,-2,-12,ok,2048,1.492907728291265
